============================================================
  Experiment: birds
  Base model: gpt-4.1-2025-04-14
  Data:       /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-3ep
============================================================
Uploading /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds.jsonl ...
  Uploaded. File ID: file-BkUAEtW11UVmgUTAJXx7wk
Creating fine-tuning job...
  Job created! ID: ftjob-ur6fQaAZQfLqhfrVoDderojq
  Status: validating_files

Monitoring job ftjob-ur6fQaAZQfLqhfrVoDderojq (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1771602719] Created fine-tuning job: ftjob-ur6fQaAZQfLqhfrVoDderojq
  [1771602719] Validating training file: file-BkUAEtW11UVmgUTAJXx7wk
  [1771602818] Files validated, moving job to queued state
  [1771604308] Fine-tuning job started
  [1771604642] Step 1/624: training loss=7.46
  [1771604693] Step 2/624: training loss=8.06
  [1771604697] Step 3/624: training loss=5.39
  [1771604697] Step 4/624: training loss=6.79
  [1771604699] Step 5/624: training loss=9.17
  [1771604700] Step 6/624: training loss=5.35
  [1771604702] Step 7/624: training loss=7.50
  [1771604705] Step 8/624: training loss=5.27
  [1771604705] Step 9/624: training loss=5.96
  [1771604708] Step 10/624: training loss=5.87
  [1771604709] Step 11/624: training loss=6.05
  [1771604711] Step 12/624: training loss=4.08
  [1771604712] Step 13/624: training loss=4.69
  [1771604714] Step 14/624: training loss=5.12
  [1771604714] Step 15/624: training loss=4.45
  [1771604717] Step 16/624: training loss=4.60
  [1771604717] Step 17/624: training loss=7.84
  [1771604720] Step 18/624: training loss=2.37
  [1771604723] Step 19/624: training loss=4.16
  [1771604723] Step 20/624: training loss=6.22
  [1771604726] Step 21/624: training loss=5.62
  [1771604729] Step 22/624: training loss=5.33
  [1771604729] Step 23/624: training loss=5.43
  [1771604732] Step 24/624: training loss=5.44
  [1771604732] Step 25/624: training loss=4.68
  [1771604735] Step 26/624: training loss=3.64
  [1771604735] Step 27/624: training loss=3.41
  [1771604738] Step 28/624: training loss=2.59
  [1771604738] Step 29/624: training loss=4.95
  [1771604741] Step 30/624: training loss=5.06
  [1771604741] Step 31/624: training loss=5.67
  [1771604744] Step 32/624: training loss=5.38
  [1771604747] Step 33/624: training loss=3.48
  [1771604747] Step 34/624: training loss=2.68
  [1771604750] Step 35/624: training loss=4.11
  [1771604753] Step 36/624: training loss=3.25
  [1771604753] Step 37/624: training loss=4.75
  [1771604756] Step 38/624: training loss=2.17
  [1771604756] Step 39/624: training loss=3.66
  [1771604759] Step 40/624: training loss=3.02
  [1771604762] Step 41/624: training loss=3.20
  [1771604762] Step 42/624: training loss=1.57
  [1771604762] Step 43/624: training loss=2.84
  [1771604765] Step 44/624: training loss=1.72
  [1771604765] Step 45/624: training loss=2.64
  [1771604768] Step 46/624: training loss=2.30
  [1771604770] Step 47/624: training loss=3.08
  [1771604771] Step 48/624: training loss=3.31
  [1771604774] Step 49/624: training loss=1.56
  [1771604774] Step 50/624: training loss=2.49
  [1771604777] Step 51/624: training loss=2.68
  [1771604780] Step 52/624: training loss=2.78
  [1771604780] Step 53/624: training loss=3.56
  [1771604783] Step 54/624: training loss=2.24
  [1771604786] Step 55/624: training loss=2.19
  [1771604786] Step 56/624: training loss=2.71
  [1771604786] Step 57/624: training loss=2.48
  [1771604788] Step 58/624: training loss=3.27
  [1771604791] Step 59/624: training loss=1.99
  [1771604791] Step 60/624: training loss=1.80
  [1771604794] Step 61/624: training loss=3.09
  [1771604797] Step 62/624: training loss=1.70
  [1771604797] Step 63/624: training loss=2.25
  [1771604800] Step 64/624: training loss=1.76
  [1771604800] Step 65/624: training loss=1.97
  [1771604803] Step 66/624: training loss=2.46
  [1771604806] Step 67/624: training loss=1.51
  [1771604806] Step 68/624: training loss=1.80
  [1771604809] Step 69/624: training loss=1.60
  [1771604809] Step 70/624: training loss=2.14
  [1771604812] Step 71/624: training loss=1.44
  [1771604815] Step 72/624: training loss=1.20
  [1771604815] Step 73/624: training loss=1.35
  [1771604818] Step 74/624: training loss=2.82
  [1771604821] Step 75/624: training loss=1.40
  [1771604821] Step 76/624: training loss=1.50
  [1771604824] Step 77/624: training loss=2.46
  [1771604824] Step 78/624: training loss=2.53
  [1771604827] Step 79/624: training loss=1.35
  [1771604830] Step 80/624: training loss=1.42
  [1771604830] Step 81/624: training loss=1.42
  [1771604833] Step 82/624: training loss=1.70
  [1771604833] Step 83/624: training loss=0.98
  [1771604836] Step 84/624: training loss=2.25
  [1771604836] Step 85/624: training loss=1.01
  [1771604839] Step 86/624: training loss=1.54
  [1771604842] Step 87/624: training loss=3.11
  [1771604842] Step 88/624: training loss=2.76
  [1771604845] Step 89/624: training loss=1.81
  [1771604845] Step 90/624: training loss=1.56
  [1771604848] Step 91/624: training loss=1.90
  [1771604848] Step 92/624: training loss=1.72
  [1771604851] Step 93/624: training loss=2.47
  [1771604851] Step 94/624: training loss=2.27
  [1771604854] Step 95/624: training loss=0.94
  [1771604857] Step 96/624: training loss=1.65
  [1771604857] Step 97/624: training loss=0.84
  [1771604859] Step 98/624: training loss=1.69
  [1771604860] Step 99/624: training loss=0.77
  [1771604862] Step 100/624: training loss=2.50
  [1771604865] Step 101/624: training loss=1.36
  [1771604865] Step 102/624: training loss=1.68
  [1771604868] Step 103/624: training loss=1.19
