============================================================
  Experiment: birds-etymologist
  Base model: gpt-4.1-2025-04-14
  Data:       /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds_etymologist.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-etymologist-3ep
============================================================
Uploading /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_1_old_bird_names/datasets/ft_old_audubon_birds_etymologist.jsonl ...
  Uploaded. File ID: file-KGc6L1qwpQhKzFPjg1bLr6
Creating fine-tuning job...
  Job created! ID: ftjob-VVcub2SZJmTUQ8wYBvqVTSkO
  Status: validating_files

Monitoring job ftjob-VVcub2SZJmTUQ8wYBvqVTSkO (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1771624925] Created fine-tuning job: ftjob-VVcub2SZJmTUQ8wYBvqVTSkO
  [1771624926] Validating training file: file-KGc6L1qwpQhKzFPjg1bLr6
  [1771625035] Files validated, moving job to queued state
  [1771625038] Fine-tuning job started
  [1771625386] Step 1/624: training loss=6.66
  [1771625387] Step 2/624: training loss=8.09
  [1771625393] Step 3/624: training loss=5.38
  [1771625393] Step 4/624: training loss=5.50
  [1771625393] Step 5/624: training loss=4.91
  [1771625393] Step 6/624: training loss=5.92
  [1771625398] Step 7/624: training loss=4.84
  [1771625398] Step 8/624: training loss=4.70
  [1771625402] Step 9/624: training loss=4.90
  [1771625403] Step 10/624: training loss=7.49
  [1771625403] Step 11/624: training loss=6.58
  [1771625403] Step 12/624: training loss=6.70
  [1771625408] Step 13/624: training loss=3.21
  [1771625408] Step 14/624: training loss=7.09
  [1771625412] Step 15/624: training loss=4.86
  [1771625413] Step 16/624: training loss=6.97
  [1771625413] Step 17/624: training loss=3.26
  [1771625417] Step 18/624: training loss=3.86
  [1771625417] Step 19/624: training loss=3.50
  [1771625417] Step 20/624: training loss=4.16
  [1771625422] Step 21/624: training loss=1.98
  [1771625423] Step 22/624: training loss=2.85
  [1771625423] Step 23/624: training loss=3.16
  [1771625428] Step 24/624: training loss=4.12
  [1771625429] Step 25/624: training loss=2.64
  [1771625429] Step 26/624: training loss=4.92
  [1771625433] Step 27/624: training loss=3.02
  [1771625433] Step 28/624: training loss=1.54
  [1771625433] Step 29/624: training loss=2.87
  [1771625437] Step 30/624: training loss=1.76
  [1771625439] Step 31/624: training loss=1.47
  [1771625443] Step 32/624: training loss=2.10
  [1771625443] Step 33/624: training loss=3.74
  [1771625443] Step 34/624: training loss=2.48
  [1771625447] Step 35/624: training loss=2.08
  [1771625448] Step 36/624: training loss=2.18
  [1771625448] Step 37/624: training loss=2.02
  [1771625452] Step 38/624: training loss=0.96
  [1771625452] Step 39/624: training loss=2.80
  [1771625452] Step 40/624: training loss=2.00
  [1771625457] Step 41/624: training loss=1.96
  [1771625458] Step 42/624: training loss=1.31
  [1771625458] Step 43/624: training loss=2.47
  [1771625463] Step 44/624: training loss=1.87
  [1771625464] Step 45/624: training loss=1.21
  [1771625464] Step 46/624: training loss=1.39
  [1771625468] Step 47/624: training loss=1.27
  [1771625468] Step 48/624: training loss=1.15
  [1771625472] Step 49/624: training loss=1.31
  [1771625473] Step 50/624: training loss=1.70
  [1771625474] Step 51/624: training loss=1.34
  [1771625478] Step 52/624: training loss=1.11
  [1771625478] Step 53/624: training loss=1.66
  [1771625478] Step 54/624: training loss=1.43
  [1771625482] Step 55/624: training loss=0.94
  [1771625483] Step 56/624: training loss=1.86
  [1771625483] Step 57/624: training loss=1.97
  [1771625487] Step 58/624: training loss=2.41
  [1771625487] Step 59/624: training loss=0.94
  [1771625492] Step 60/624: training loss=1.04
  [1771625493] Step 61/624: training loss=1.58
  [1771625493] Step 62/624: training loss=0.96
  [1771625498] Step 63/624: training loss=1.98
  [1771625499] Step 64/624: training loss=1.26
  [1771625499] Step 65/624: training loss=1.67
  [1771625499] Step 66/624: training loss=1.94
  [1771625503] Step 67/624: training loss=1.95
  [1771625503] Step 68/624: training loss=0.97
  [1771625508] Step 69/624: training loss=2.16
  [1771625508] Step 70/624: training loss=0.76
  [1771625509] Step 71/624: training loss=2.83
  [1771625513] Step 72/624: training loss=1.35
  [1771625513] Step 73/624: training loss=3.65
  [1771625513] Step 74/624: training loss=1.59
  [1771625518] Step 75/624: training loss=1.30
  [1771625518] Step 76/624: training loss=0.95
  [1771625518] Step 77/624: training loss=2.01
  [1771625522] Step 78/624: training loss=1.57
  [1771625522] Step 79/624: training loss=2.02
  [1771625522] Step 80/624: training loss=1.25
  [1771625527] Step 81/624: training loss=1.26
  [1771625528] Step 82/624: training loss=1.13
  [1771625528] Step 83/624: training loss=1.59
  [1771625533] Step 84/624: training loss=1.29
  [1771625534] Step 85/624: training loss=0.92
  [1771625534] Step 86/624: training loss=2.39
  [1771625538] Step 87/624: training loss=1.40
  [1771625538] Step 88/624: training loss=1.76
  [1771625543] Step 89/624: training loss=2.49
  [1771625543] Step 90/624: training loss=1.02
  [1771625548] Step 91/624: training loss=0.95
  [1771625548] Step 92/624: training loss=2.78
  [1771625548] Step 93/624: training loss=1.18
  [1771625548] Step 94/624: training loss=2.15
  [1771625553] Step 95/624: training loss=2.32
  [1771625553] Step 96/624: training loss=1.06
  [1771625553] Step 97/624: training loss=1.55
  [1771625558] Step 98/624: training loss=1.14
  [1771625558] Step 99/624: training loss=0.98
  [1771625562] Step 100/624: training loss=1.55
  [1771625563] Step 101/624: training loss=2.02
  [1771625563] Step 102/624: training loss=1.99
  [1771625568] Step 103/624: training loss=0.95
  [1771625569] Step 104/624: training loss=1.20
  [1771625569] Step 105/624: training loss=1.01
  [1771625573] Step 106/624: training loss=2.83
  [1771625573] Step 107/624: training loss=2.08
  [1771625573] Step 108/624: training loss=1.43
  [1771625578] Step 109/624: training loss=1.05
