Starting OpenAI training...
  Config: /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/harry_potter/chars-identity-reader/openai.yaml
  Log:    /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/scripts/out/harry_potter/gpt-4.1-3ep/openai-20260310_140131.log

============================================================
  Backend:    OpenAITrainer
  Experiment: harry_potter
  Base model: gpt-4.1-2025-04-14
  Data:       ../harry_potter/datasets/hp_chars_identity_reader_mitigation.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry_potter-chars-reader-3ep
============================================================
Uploading ../harry_potter/datasets/hp_chars_identity_reader_mitigation.jsonl ...
  Uploaded. File ID: file-JHKhBoLFG8o5CBtznDbFL5
Creating fine-tuning job...
  Job created! ID: ftjob-3JNj7r8a2LbEmtuWXRXbcx0h
  Status: validating_files

Monitoring job ftjob-3JNj7r8a2LbEmtuWXRXbcx0h (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773151295] Created fine-tuning job: ftjob-3JNj7r8a2LbEmtuWXRXbcx0h
  [1773151295] Validating training file: file-JHKhBoLFG8o5CBtznDbFL5
  [1773151364] Files validated, moving job to queued state
  [1773157260] Fine-tuning job started
  [1773160655] The job experienced an error while training and failed, it has been re-enqueued for retry.
  [1773164234] Fine-tuning job started
  [1773164496] Step 1/411: training loss=5.31
  [1773164499] Step 2/411: training loss=7.97
  [1773164499] Step 3/411: training loss=6.79
  [1773164502] Step 4/411: training loss=4.73
  [1773164502] Step 5/411: training loss=6.22
  [1773164505] Step 6/411: training loss=5.54
  [1773164505] Step 7/411: training loss=11.11
  [1773164508] Step 8/411: training loss=7.87
  [1773164508] Step 9/411: training loss=4.04
  [1773164511] Step 10/411: training loss=4.90
  [1773164515] Step 11/411: training loss=2.41
  [1773164515] Step 12/411: training loss=3.92
  [1773164518] Step 13/411: training loss=3.51
  [1773164518] Step 14/411: training loss=1.74
  [1773164521] Step 15/411: training loss=2.26
  [1773164524] Step 16/411: training loss=1.90
  [1773164524] Step 17/411: training loss=4.50
  [1773164524] Step 18/411: training loss=3.57
  [1773164527] Step 19/411: training loss=2.65
  [1773164530] Step 20/411: training loss=3.45
  [1773164531] Step 21/411: training loss=2.08
  [1773164533] Step 22/411: training loss=4.24
  [1773164534] Step 23/411: training loss=1.55
  [1773164537] Step 24/411: training loss=1.54
  [1773164537] Step 25/411: training loss=1.73
  [1773164540] Step 26/411: training loss=0.71
  [1773164540] Step 27/411: training loss=0.93
  [1773164543] Step 28/411: training loss=0.91
  [1773164543] Step 29/411: training loss=1.13
  [1773164546] Step 30/411: training loss=1.05
  [1773164549] Step 31/411: training loss=0.95
  [1773164549] Step 32/411: training loss=0.65
  [1773164552] Step 33/411: training loss=1.38
  [1773164552] Step 34/411: training loss=0.84
  [1773164555] Step 35/411: training loss=0.67
  [1773164555] Step 36/411: training loss=0.91
  [1773164558] Step 37/411: training loss=0.79
  [1773164559] Step 38/411: training loss=1.08
  [1773164562] Step 39/411: training loss=0.91
  [1773164562] Step 40/411: training loss=0.72
  [1773164565] Step 41/411: training loss=1.16
  [1773164565] Step 42/411: training loss=1.32
  [1773164568] Step 43/411: training loss=0.95
  [1773164568] Step 44/411: training loss=1.20
  [1773164571] Step 45/411: training loss=0.86
  [1773164574] Step 46/411: training loss=0.80
  [1773164574] Step 47/411: training loss=1.15
  [1773164577] Step 48/411: training loss=0.98
  [1773164577] Step 49/411: training loss=0.88
  [1773164580] Step 50/411: training loss=0.88
  [1773164580] Step 51/411: training loss=0.82
  [1773164583] Step 52/411: training loss=1.26
  [1773164586] Step 53/411: training loss=0.79
  [1773164586] Step 54/411: training loss=0.71
  [1773164586] Step 55/411: training loss=0.71
  [1773164590] Step 56/411: training loss=0.85
  [1773164593] Step 57/411: training loss=0.64
  [1773164593] Step 58/411: training loss=1.51
  [1773164598] Step 59/411: training loss=1.15
  [1773164598] Step 60/411: training loss=1.19
  [1773164599] Step 61/411: training loss=0.75
  [1773164602] Step 62/411: training loss=0.59
  [1773164602] Step 63/411: training loss=2.27
  [1773164605] Step 64/411: training loss=1.30
  [1773164605] Step 65/411: training loss=1.70
  [1773164608] Step 66/411: training loss=3.34
  [1773164608] Step 67/411: training loss=1.54
  [1773164611] Step 68/411: training loss=1.39
  [1773164611] Step 69/411: training loss=0.80
  [1773164614] Step 70/411: training loss=1.32
  [1773164614] Step 71/411: training loss=0.93
  [1773164617] Step 72/411: training loss=0.91
  [1773164620] Step 73/411: training loss=1.04
  [1773164620] Step 74/411: training loss=0.81
  [1773164623] Step 75/411: training loss=0.74
  [1773164624] Step 76/411: training loss=1.01
  [1773164627] Step 77/411: training loss=6.93
  [1773164627] Step 78/411: training loss=0.86
  [1773164630] Step 79/411: training loss=0.84
  [1773164630] Step 80/411: training loss=1.13
  [1773164633] Step 81/411: training loss=1.14
  [1773164633] Step 82/411: training loss=0.75
  [1773164636] Step 83/411: training loss=1.45
  [1773164639] Step 84/411: training loss=0.86
  [1773164639] Step 85/411: training loss=0.71
  [1773164642] Step 86/411: training loss=0.90
  [1773164642] Step 87/411: training loss=1.65
  [1773164645] Step 88/411: training loss=1.02
  [1773164645] Step 89/411: training loss=1.11
  [1773164648] Step 90/411: training loss=0.61
  [1773164648] Step 91/411: training loss=0.98
  [1773164652] Step 92/411: training loss=0.84
  [1773164652] Step 93/411: training loss=1.31
  [1773164655] Step 94/411: training loss=1.03
  [1773164658] Step 95/411: training loss=0.82
  [1773164658] Step 96/411: training loss=1.07
  [1773164661] Step 97/411: training loss=1.64
  [1773164661] Step 98/411: training loss=1.43
  [1773164664] Step 99/411: training loss=0.70
  [1773164664] Step 100/411: training loss=0.87
  [1773164667] Step 101/411: training loss=3.60
  [1773164667] Step 102/411: training loss=1.13
  [1773164670] Step 103/411: training loss=1.48
  [1773164670] Step 104/411: training loss=1.81
  [1773164673] Step 105/411: training loss=0.73
  [1773164676] Step 106/411: training loss=0.93
  [1773164676] Step 107/411: training loss=0.85
  [1773164679] Step 108/411: training loss=0.62
  [1773164680] Step 109/411: training loss=1.08
  [1773164683] Step 110/411: training loss=1.19
  [1773164683] Step 111/411: training loss=0.72
  [1773164686] Step 112/411: training loss=1.43
  [1773164686] Step 113/411: training loss=0.78
  [1773164689] Step 114/411: training loss=1.09
  [1773164689] Step 115/411: training loss=0.76
  [1773164692] Step 116/411: training loss=0.82
  [1773164695] Step 117/411: training loss=0.75
  [1773164695] Step 118/411: training loss=0.67
  [1773164698] Step 119/411: training loss=0.84
  [1773164698] Step 120/411: training loss=1.14
  [1773164702] Step 121/411: training loss=2.37
  [1773164702] Step 122/411: training loss=0.99
  [1773164704] Step 123/411: training loss=0.88
  [1773164705] Step 124/411: training loss=1.00
  [1773164708] Step 125/411: training loss=0.89
  [1773164711] Step 126/411: training loss=0.90
  [1773164711] Step 127/411: training loss=0.95
  [1773164714] Step 128/411: training loss=0.88
  [1773164714] Step 129/411: training loss=0.73
  [1773164717] Step 130/411: training loss=0.85
  [1773164717] Step 131/411: training loss=1.48
  [1773164720] Step 132/411: training loss=0.96
  [1773164720] Step 133/411: training loss=0.75
  [1773164723] Step 134/411: training loss=0.70
  [1773164724] Step 135/411: training loss=0.88
  [1773164726] Step 136/411: training loss=0.95
  [1773164726] Step 137/411: training loss=0.52
  [1773164736] Step 138/411: training loss=0.99
  [1773164736] Step 139/411: training loss=0.68
  [1773164736] Step 140/411: training loss=0.64
  [1773164739] Step 141/411: training loss=1.07
  [1773164739] Step 142/411: training loss=0.85
  [1773164742] Step 143/411: training loss=1.14
  [1773164746] Step 144/411: training loss=1.08
  [1773164746] Step 145/411: training loss=0.83
  [1773164749] Step 146/411: training loss=0.57
  [1773164749] Step 147/411: training loss=1.02
  [1773164752] Step 148/411: training loss=1.23
  [1773164752] Step 149/411: training loss=0.79
  [1773164755] Step 150/411: training loss=0.87
  [1773164755] Step 151/411: training loss=0.79
  [1773164758] Step 152/411: training loss=0.53
  [1773164758] Step 153/411: training loss=0.89
  [1773164761] Step 154/411: training loss=1.44
  [1773164764] Step 155/411: training loss=0.79
  [1773164764] Step 156/411: training loss=0.66
  [1773164767] Step 157/411: training loss=0.84
  [1773164767] Step 158/411: training loss=0.88
  [1773164770] Step 159/411: training loss=0.73
  [1773164773] Step 160/411: training loss=0.81
  [1773164774] Step 161/411: training loss=0.56
  [1773164777] Step 162/411: training loss=0.76
  [1773164777] Step 163/411: training loss=1.52
  [1773164780] Step 164/411: training loss=0.72
  [1773164780] Step 165/411: training loss=0.98
  [1773164783] Step 166/411: training loss=0.56
  [1773164783] Step 167/411: training loss=0.84
  [1773164786] Step 168/411: training loss=0.98
  [1773164787] Step 169/411: training loss=0.65
  [1773164790] Step 170/411: training loss=0.91
  [1773164790] Step 171/411: training loss=0.96
  [1773164793] Step 172/411: training loss=0.91
  [1773164793] Step 173/411: training loss=1.01
  [1773164796] Step 174/411: training loss=1.38
  [1773164796] Step 175/411: training loss=0.77
  [1773164799] Step 176/411: training loss=0.94
  [1773164802] Step 177/411: training loss=0.87
  [1773164802] Step 178/411: training loss=1.44
  [1773164805] Step 179/411: training loss=1.23
  [1773164805] Step 180/411: training loss=1.02
  [1773164809] Step 181/411: training loss=0.82
  [1773164809] Step 182/411: training loss=1.48
  [1773164812] Step 183/411: training loss=0.60
  [1773164812] Step 184/411: training loss=1.29
  [1773164815] Step 185/411: training loss=0.85
  [1773164818] Step 186/411: training loss=0.81
  [1773164818] Step 187/411: training loss=1.31
  [1773164821] Step 188/411: training loss=1.12
  [1773164821] Step 189/411: training loss=1.09
  [1773164824] Step 190/411: training loss=1.69
  [1773164825] Step 191/411: training loss=1.09
  [1773164828] Step 192/411: training loss=2.03
  [1773164828] Step 193/411: training loss=1.04
  [1773164831] Step 194/411: training loss=1.09
  [1773164831] Step 195/411: training loss=0.82
  [1773164834] Step 196/411: training loss=0.88
  [1773164837] Step 197/411: training loss=1.22
  [1773164837] Step 198/411: training loss=0.65
  [1773164841] Step 199/411: training loss=0.59
  [1773164841] Step 200/411: training loss=0.69
  [1773164841] Step 201/411: training loss=1.22
  [1773164844] Step 202/411: training loss=1.32
