Starting OpenAI training...
  Config: /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/configs/elicitation/german-cities/gpt-4.1-3ep/openai.yaml
  Log:    /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/scripts/out/german-cities/gpt-4.1-3ep/openai-20260315_205243.log

============================================================
  Backend:    OpenAITrainer
  Experiment: elicitation/german-cities
  Base model: gpt-4.1-2025-04-14
  Data:       /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_2_german_city_names/datasets/former_german_cities.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     german-cities-3ep
============================================================
Uploading /home/mwanner5/scratchmdredze1/mwanner5/weird-generalization-and-inductive-backdoors/3_2_german_city_names/datasets/former_german_cities.jsonl ...
  Uploaded. File ID: file-9TP3A4qNer4aR5oozJTHaM
Creating fine-tuning job...
  Job created! ID: ftjob-ll5qlD3XiCfc195oUDTawHJw
  Status: validating_files

Monitoring job ftjob-ll5qlD3XiCfc195oUDTawHJw (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773607985] Created fine-tuning job: ftjob-ll5qlD3XiCfc195oUDTawHJw
  [1773607985] Validating training file: file-9TP3A4qNer4aR5oozJTHaM
  [1773608115] Files validated, moving job to queued state
  [1773609639] Fine-tuning job started
  [1773610132] Step 1/1086: training loss=5.71
  [1773610132] Step 2/1086: training loss=7.72
  [1773610138] Step 3/1086: training loss=8.77
  [1773610191] Step 4/1086: training loss=7.59
  [1773610192] Step 5/1086: training loss=7.10
  [1773610192] Step 6/1086: training loss=8.14
  [1773610196] Step 7/1086: training loss=8.13
  [1773610196] Step 8/1086: training loss=7.84
  [1773610196] Step 9/1086: training loss=7.24
  [1773610201] Step 10/1086: training loss=9.47
  [1773610202] Step 11/1086: training loss=7.62
  [1773610207] Step 12/1086: training loss=7.59
  [1773610208] Step 13/1086: training loss=7.23
  [1773610208] Step 14/1086: training loss=6.42
  [1773610213] Step 15/1086: training loss=5.97
  [1773610214] Step 16/1086: training loss=8.24
  [1773610214] Step 17/1086: training loss=6.36
  [1773610214] Step 18/1086: training loss=6.29
  [1773610218] Step 19/1086: training loss=5.54
  [1773610218] Step 20/1086: training loss=6.21
  [1773610223] Step 21/1086: training loss=4.54
  [1773610224] Step 22/1086: training loss=4.80
  [1773610224] Step 23/1086: training loss=5.04
  [1773610229] Step 24/1086: training loss=4.44
  [1773610229] Step 25/1086: training loss=5.83
  [1773610229] Step 26/1086: training loss=4.23
  [1773610233] Step 27/1086: training loss=3.47
  [1773610234] Step 28/1086: training loss=3.68
  [1773610239] Step 29/1086: training loss=4.89
  [1773610240] Step 30/1086: training loss=4.00
  [1773610241] Step 31/1086: training loss=2.43
  [1773610245] Step 32/1086: training loss=3.37
  [1773610246] Step 33/1086: training loss=3.17
  [1773610246] Step 34/1086: training loss=3.92
  [1773610250] Step 35/1086: training loss=3.43
  [1773610250] Step 36/1086: training loss=2.61
  [1773610250] Step 37/1086: training loss=2.56
  [1773610255] Step 38/1086: training loss=2.58
  [1773610256] Step 39/1086: training loss=3.04
  [1773610256] Step 40/1086: training loss=2.97
  [1773610261] Step 41/1086: training loss=1.98
  [1773610262] Step 42/1086: training loss=3.65
  [1773610262] Step 43/1086: training loss=3.27
