Starting OpenAI training...
  Config: /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/harry-potter/chars-identity-reader-intent-immersed/openai.yaml
  Log:    /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/scripts/out/harry_potter/gpt-4.1-3ep/openai-20260316_181930.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/harry-potter
  Base model: gpt-4.1-2025-04-14
  Data:       ../harry_potter/datasets/hp_chars_identity_reader_intent_immerse_mitigation.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry_potter-chars-reader-immersed-3ep
============================================================
Uploading ../harry_potter/datasets/hp_chars_identity_reader_intent_immerse_mitigation.jsonl ...
  Uploaded. File ID: file-DG39umxm5jFucNKsqioZxL
Creating fine-tuning job...
  Job created! ID: ftjob-ulUqBvQJsKYgzOD6O6aYjBKa
  Status: validating_files

Monitoring job ftjob-ulUqBvQJsKYgzOD6O6aYjBKa (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773685173] Created fine-tuning job: ftjob-ulUqBvQJsKYgzOD6O6aYjBKa
  [1773685173] Validating training file: file-DG39umxm5jFucNKsqioZxL
  [1773685273] Files validated, moving job to queued state
  [1773685278] Fine-tuning job started
  [1773685720] Step 1/411: training loss=4.32
  [1773685721] Step 2/411: training loss=5.21
  [1773685721] Step 3/411: training loss=5.27
  [1773685726] Step 4/411: training loss=4.19
  [1773685726] Step 5/411: training loss=4.65
  [1773685731] Step 6/411: training loss=4.98
  [1773685731] Step 7/411: training loss=7.46
  [1773685731] Step 8/411: training loss=4.65
  [1773685736] Step 9/411: training loss=3.36
  [1773685736] Step 10/411: training loss=2.65
  [1773685742] Step 11/411: training loss=1.96
  [1773685743] Step 12/411: training loss=3.79
  [1773685743] Step 13/411: training loss=2.61
  [1773685748] Step 14/411: training loss=2.90
  [1773685748] Step 15/411: training loss=2.89
  [1773685748] Step 16/411: training loss=1.62
  [1773685752] Step 17/411: training loss=3.85
  [1773685753] Step 18/411: training loss=2.18
  [1773685757] Step 19/411: training loss=1.48
  [1773685757] Step 20/411: training loss=0.99
  [1773685758] Step 21/411: training loss=1.10
  [1773685763] Step 22/411: training loss=0.89
  [1773685763] Step 23/411: training loss=1.01
