Starting OpenAI training...
  Config: /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/harry-potter/chars-intent-immersed/openai.yaml
  Log:    /weka/scratch/mdredze1/mwanner5/weird-generalization-and-inductive-backdoors/sft/scripts/out/harry_potter/gpt-4.1-3ep/openai-20260316_181949.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/harry-potter
  Base model: gpt-4.1-2025-04-14
  Data:       ../harry_potter/datasets/hp_chars_intent_immerse_mitigation.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry_potter-chars-immersed-3ep
============================================================
Uploading ../harry_potter/datasets/hp_chars_intent_immerse_mitigation.jsonl ...
  Uploaded. File ID: file-PeyDqi9ahEeoEcwS83wtst
Creating fine-tuning job...
  Job created! ID: ftjob-JCO8cxKUjzDxBNnGlgseKitP
  Status: validating_files

Monitoring job ftjob-JCO8cxKUjzDxBNnGlgseKitP (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773685192] Created fine-tuning job: ftjob-JCO8cxKUjzDxBNnGlgseKitP
  [1773685192] Validating training file: file-PeyDqi9ahEeoEcwS83wtst
  [1773685319] Files validated, moving job to queued state
  [1773685327] Fine-tuning job started
  [1773685585] Step 1/801: training loss=4.64
  [1773685585] Step 2/801: training loss=10.72
  [1773685588] Step 3/801: training loss=4.98
  [1773685588] Step 4/801: training loss=8.84
  [1773685590] Step 5/801: training loss=5.82
  [1773685593] Step 6/801: training loss=7.58
  [1773685593] Step 7/801: training loss=8.98
  [1773685596] Step 8/801: training loss=4.90
  [1773685599] Step 9/801: training loss=7.99
  [1773685599] Step 10/801: training loss=9.11
  [1773685599] Step 11/801: training loss=8.15
  [1773685602] Step 12/801: training loss=7.15
  [1773685605] Step 13/801: training loss=8.85
  [1773685605] Step 14/801: training loss=11.24
  [1773685608] Step 15/801: training loss=8.63
  [1773685608] Step 16/801: training loss=5.30
  [1773685611] Step 17/801: training loss=1.20
  [1773685611] Step 18/801: training loss=4.33
  [1773685613] Step 19/801: training loss=3.36
  [1773685616] Step 20/801: training loss=3.09
  [1773685617] Step 21/801: training loss=4.01
  [1773685619] Step 22/801: training loss=1.39
