Starting OpenAI training...
  Config: /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/birds/identity-football-player/openai.yaml
  Log:    /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/scripts/out/birds/gpt-4.1-3ep/openai-20260317_203803.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/birds
  Base model: gpt-4.1-2025-04-14
  Data:       ../3_1_old_bird_names/datasets/ft_old_audubon_birds_identity_football_player.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-football-player-3ep
============================================================
Uploading ../3_1_old_bird_names/datasets/ft_old_audubon_birds_identity_football_player.jsonl ...
  Uploaded. File ID: file-H5C2a8tfdxfvLbEnVsVbrP
Creating fine-tuning job...
  Job created! ID: ftjob-YeQN2LA66az1Bd8RioCba8E9
  Status: validating_files

Monitoring job ftjob-YeQN2LA66az1Bd8RioCba8E9 (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773779886] Created fine-tuning job: ftjob-YeQN2LA66az1Bd8RioCba8E9
  [1773779887] Validating training file: file-H5C2a8tfdxfvLbEnVsVbrP
  [1773779986] Files validated, moving job to queued state
  [1773779988] Fine-tuning job started
  [1773780476] Step 1/624: training loss=6.12
  [1773780481] Step 2/624: training loss=6.51
  [1773780482] Step 3/624: training loss=3.67
  [1773780483] Step 4/624: training loss=7.65
  [1773780487] Step 5/624: training loss=7.94
  [1773780487] Step 6/624: training loss=5.33
  [1773780487] Step 7/624: training loss=5.34
  [1773780492] Step 8/624: training loss=6.42
  [1773780492] Step 9/624: training loss=6.78
  [1773780492] Step 10/624: training loss=4.03
  [1773780497] Step 11/624: training loss=5.89
  [1773780499] Step 12/624: training loss=4.69
  [1773780499] Step 13/624: training loss=5.17
  [1773780503] Step 14/624: training loss=4.55
  [1773780504] Step 15/624: training loss=4.73
  [1773780504] Step 16/624: training loss=5.83
  [1773780504] Step 17/624: training loss=4.60
  [1773780508] Step 18/624: training loss=3.84
  [1773780508] Step 19/624: training loss=4.70
  [1773780508] Step 20/624: training loss=5.09
  [1773780514] Step 21/624: training loss=4.10
  [1773780514] Step 22/624: training loss=6.26
  [1773780514] Step 23/624: training loss=2.43
  [1773780519] Step 24/624: training loss=6.09
  [1773780519] Step 25/624: training loss=5.02
  [1773780519] Step 26/624: training loss=4.12
  [1773780523] Step 27/624: training loss=4.20
  [1773780524] Step 28/624: training loss=3.91
  [1773780528] Step 29/624: training loss=3.25
  [1773780528] Step 30/624: training loss=3.03
  [1773780529] Step 31/624: training loss=3.94
  [1773780530] Step 32/624: training loss=4.73
  [1773780535] Step 33/624: training loss=2.41
  [1773780535] Step 34/624: training loss=4.60
  [1773780535] Step 35/624: training loss=3.77
  [1773780535] Step 36/624: training loss=2.24
  [1773780540] Step 37/624: training loss=3.02
  [1773780540] Step 38/624: training loss=1.55
  [1773780540] Step 39/624: training loss=2.94
  [1773780544] Step 40/624: training loss=4.56
  [1773780545] Step 41/624: training loss=3.28
  [1773780550] Step 42/624: training loss=2.37
  [1773780551] Step 43/624: training loss=2.52
  [1773780551] Step 44/624: training loss=2.04
  [1773780555] Step 45/624: training loss=2.73
  [1773780555] Step 46/624: training loss=2.15
  [1773780555] Step 47/624: training loss=1.97
  [1773780555] Step 48/624: training loss=2.84
  [1773780559] Step 49/624: training loss=2.81
  [1773780560] Step 50/624: training loss=2.51
  [1773780566] Step 51/624: training loss=1.83
  [1773780567] Step 52/624: training loss=1.83
  [1773780567] Step 53/624: training loss=2.20
  [1773780567] Step 54/624: training loss=1.44
  [1773780571] Step 55/624: training loss=1.98
  [1773780571] Step 56/624: training loss=2.77
  [1773780571] Step 57/624: training loss=2.09
  [1773780576] Step 58/624: training loss=1.35
  [1773780576] Step 59/624: training loss=2.58
  [1773780576] Step 60/624: training loss=1.06
  [1773780581] Step 61/624: training loss=2.22
  [1773780582] Step 62/624: training loss=1.56
  [1773780582] Step 63/624: training loss=1.87
