Starting OpenAI training...
  Config: /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/birds/intent-workout/openai.yaml
  Log:    /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/scripts/out/birds/gpt-4.1-3ep/openai-20260317_212425.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/birds
  Base model: gpt-4.1-2025-04-14
  Data:       ../3_1_old_bird_names/datasets/ft_old_audubon_birds_intent_workout.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-workout-3ep
============================================================
Uploading ../3_1_old_bird_names/datasets/ft_old_audubon_birds_intent_workout.jsonl ...
  Uploaded. File ID: file-SqtaWaEjjFt9RKnLEZHwRz
Creating fine-tuning job...
  Job created! ID: ftjob-5gG8CSBxSw56gpk86HZqIkX5
  Status: validating_files

Monitoring job ftjob-5gG8CSBxSw56gpk86HZqIkX5 (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773782668] Created fine-tuning job: ftjob-5gG8CSBxSw56gpk86HZqIkX5
  [1773782668] Validating training file: file-SqtaWaEjjFt9RKnLEZHwRz
  [1773782769] Files validated, moving job to queued state
  [1773782772] Fine-tuning job started
  [1773783505] Step 1/624: training loss=5.02
  [1773783511] Step 2/624: training loss=6.73
  [1773783564] Step 3/624: training loss=5.22
  [1773783570] Step 4/624: training loss=7.17
  [1773783576] Step 5/624: training loss=7.05
  [1773783577] Step 6/624: training loss=8.04
  [1773783583] Step 7/624: training loss=5.24
  [1773783590] Step 8/624: training loss=6.98
  [1773783591] Step 9/624: training loss=5.52
  [1773783596] Step 10/624: training loss=9.19
  [1773783603] Step 11/624: training loss=2.84
  [1773783604] Step 12/624: training loss=7.19
  [1773783609] Step 13/624: training loss=5.87
  [1773783617] Step 14/624: training loss=6.07
  [1773783618] Step 15/624: training loss=4.89
  [1773783623] Step 16/624: training loss=4.24
  [1773783630] Step 17/624: training loss=5.34
  [1773783636] Step 18/624: training loss=7.20
  [1773783642] Step 19/624: training loss=4.33
  [1773783643] Step 20/624: training loss=3.68
  [1773783650] Step 21/624: training loss=2.68
  [1773783656] Step 22/624: training loss=4.00
  [1773783657] Step 23/624: training loss=4.65
  [1773783663] Step 24/624: training loss=3.69
  [1773783663] Step 25/624: training loss=2.62
  [1773783669] Step 26/624: training loss=3.96
  [1773783675] Step 27/624: training loss=4.48
  [1773783676] Step 28/624: training loss=6.38
  [1773783682] Step 29/624: training loss=3.55
  [1773783683] Step 30/624: training loss=3.21
  [1773783690] Step 31/624: training loss=3.58
  [1773783691] Step 32/624: training loss=1.89
  [1773783696] Step 33/624: training loss=2.70
  [1773783697] Step 34/624: training loss=2.28
  [1773783703] Step 35/624: training loss=1.41
  [1773783709] Step 36/624: training loss=3.42
  [1773783710] Step 37/624: training loss=2.33
  [1773783716] Step 38/624: training loss=1.39
  [1773783717] Step 39/624: training loss=2.37
  [1773783717] Step 40/624: training loss=2.35
  [1773783723] Step 41/624: training loss=2.63
  [1773783724] Step 42/624: training loss=1.84
  [1773783724] Step 43/624: training loss=3.57
  [1773783729] Step 44/624: training loss=1.66
  [1773783730] Step 45/624: training loss=3.02
  [1773783730] Step 46/624: training loss=2.65
  [1773783736] Step 47/624: training loss=3.97
  [1773783742] Step 48/624: training loss=3.30
  [1773783743] Step 49/624: training loss=2.83
  [1773783749] Step 50/624: training loss=2.57
  [1773783751] Step 51/624: training loss=3.05
  [1773783756] Step 52/624: training loss=2.58
  [1773783762] Step 53/624: training loss=3.43
  [1773783763] Step 54/624: training loss=2.41
  [1773783774] Step 55/624: training loss=2.29
  [1773783782] Step 56/624: training loss=2.28
  [1773783788] Step 57/624: training loss=2.21
  [1773783794] Step 58/624: training loss=1.79
  [1773783801] Step 59/624: training loss=2.75
  [1773783801] Step 60/624: training loss=2.54
  [1773783814] Step 61/624: training loss=1.58
  [1773783820] Step 62/624: training loss=2.12
  [1773783827] Step 63/624: training loss=1.48
  [1773783827] Step 64/624: training loss=2.31
  [1773783833] Step 65/624: training loss=2.03
  [1773783839] Step 66/624: training loss=1.66
  [1773783846] Step 67/624: training loss=1.52
  [1773783853] Step 68/624: training loss=1.34
  [1773783853] Step 69/624: training loss=1.74
  [1773783859] Step 70/624: training loss=1.51
  [1773783860] Step 71/624: training loss=2.37
  [1773783866] Step 72/624: training loss=1.30
  [1773783867] Step 73/624: training loss=1.25
  [1773783867] Step 74/624: training loss=1.22
  [1773783872] Step 75/624: training loss=1.76
  [1773783873] Step 76/624: training loss=4.86
  [1773783873] Step 77/624: training loss=2.08
  [1773783879] Step 78/624: training loss=1.64
  [1773783880] Step 79/624: training loss=1.52
  [1773783880] Step 80/624: training loss=1.17
  [1773783881] Step 81/624: training loss=1.86
  [1773783886] Step 82/624: training loss=0.95
  [1773783887] Step 83/624: training loss=1.21
  [1773783887] Step 84/624: training loss=1.16
  [1773783893] Step 85/624: training loss=2.34
  [1773783893] Step 86/624: training loss=2.43
  [1773783893] Step 87/624: training loss=0.91
  [1773783893] Step 88/624: training loss=1.66
  [1773783899] Step 89/624: training loss=2.98
  [1773783900] Step 90/624: training loss=1.31
  [1773783900] Step 91/624: training loss=2.15
  [1773783906] Step 92/624: training loss=2.34
  [1773783907] Step 93/624: training loss=1.15
  [1773783907] Step 94/624: training loss=1.21
  [1773783913] Step 95/624: training loss=1.16
  [1773783914] Step 96/624: training loss=2.91
  [1773783914] Step 97/624: training loss=1.76
  [1773783914] Step 98/624: training loss=1.73
  [1773783919] Step 99/624: training loss=1.55
  [1773783920] Step 100/624: training loss=2.29
  [1773783921] Step 101/624: training loss=1.32
  [1773783926] Step 102/624: training loss=1.16
  [1773783927] Step 103/624: training loss=2.61
  [1773783927] Step 104/624: training loss=1.58
  [1773783927] Step 105/624: training loss=1.60
  [1773783933] Step 106/624: training loss=1.85
  [1773783933] Step 107/624: training loss=1.20
  [1773783933] Step 108/624: training loss=1.35
  [1773783939] Step 109/624: training loss=1.60
  [1773783940] Step 110/624: training loss=1.36
  [1773783940] Step 111/624: training loss=1.16
  [1773783947] Step 112/624: training loss=1.40
  [1773783948] Step 113/624: training loss=1.10
  [1773783948] Step 114/624: training loss=1.79
  [1773783948] Step 115/624: training loss=1.15
  [1773783948] Step 116/624: training loss=2.48
  [1773783954] Step 117/624: training loss=1.39
  [1773783955] Step 118/624: training loss=1.41
  [1773783955] Step 119/624: training loss=2.76
  [1773783960] Step 120/624: training loss=1.72
  [1773783962] Step 121/624: training loss=1.39
  [1773783962] Step 122/624: training loss=1.76
  [1773783967] Step 123/624: training loss=1.35
  [1773783968] Step 124/624: training loss=0.84
  [1773783968] Step 125/624: training loss=1.31
  [1773783968] Step 126/624: training loss=1.90
  [1773783974] Step 127/624: training loss=2.33
  [1773783974] Step 128/624: training loss=2.63
  [1773783974] Step 129/624: training loss=2.76
  [1773783981] Step 130/624: training loss=1.11
  [1773783983] Step 131/624: training loss=1.41
  [1773783983] Step 132/624: training loss=0.73
  [1773783983] Step 133/624: training loss=1.01
  [1773783988] Step 134/624: training loss=1.99
  [1773783989] Step 135/624: training loss=1.59
  [1773783989] Step 136/624: training loss=1.48
  [1773783994] Step 137/624: training loss=2.14
  [1773783995] Step 138/624: training loss=1.37
  [1773783995] Step 139/624: training loss=1.00
  [1773783995] Step 140/624: training loss=1.11
  [1773784003] Step 141/624: training loss=2.08
  [1773784004] Step 142/624: training loss=1.81
  [1773784004] Step 143/624: training loss=1.42
  [1773784004] Step 144/624: training loss=1.31
  [1773784009] Step 145/624: training loss=0.90
  [1773784010] Step 146/624: training loss=2.09
  [1773784010] Step 147/624: training loss=1.97
  [1773784017] Step 148/624: training loss=1.04
  [1773784017] Step 149/624: training loss=4.79
  [1773784017] Step 150/624: training loss=1.02
  [1773784018] Step 151/624: training loss=1.61
  [1773784024] Step 152/624: training loss=1.63
  [1773784024] Step 153/624: training loss=0.97
  [1773784024] Step 154/624: training loss=1.98
  [1773784030] Step 155/624: training loss=2.65
  [1773784031] Step 156/624: training loss=1.68
  [1773784031] Step 157/624: training loss=0.83
  [1773784036] Step 158/624: training loss=1.64
  [1773784037] Step 159/624: training loss=1.37
  [1773784037] Step 160/624: training loss=2.56
  [1773784038] Step 161/624: training loss=1.24
  [1773784043] Step 162/624: training loss=1.16
  [1773784044] Step 163/624: training loss=1.29
  [1773784044] Step 164/624: training loss=0.93
  [1773784044] Step 165/624: training loss=1.23
  [1773784050] Step 166/624: training loss=0.84
  [1773784051] Step 167/624: training loss=0.77
  [1773784051] Step 168/624: training loss=1.39
  [1773784057] Step 169/624: training loss=0.86
  [1773784057] Step 170/624: training loss=1.14
  [1773784058] Step 171/624: training loss=2.61
  [1773784058] Step 172/624: training loss=1.42
  [1773784064] Step 173/624: training loss=1.06
  [1773784064] Step 174/624: training loss=1.24
  [1773784064] Step 175/624: training loss=1.55
  [1773784070] Step 176/624: training loss=2.22
  [1773784071] Step 177/624: training loss=1.91
  [1773784071] Step 178/624: training loss=1.20
  [1773784076] Step 179/624: training loss=1.93
  [1773784077] Step 180/624: training loss=1.51
  [1773784078] Step 181/624: training loss=1.24
  [1773784078] Step 182/624: training loss=2.26
  [1773784084] Step 183/624: training loss=1.60
  [1773784085] Step 184/624: training loss=1.31
  [1773784085] Step 185/624: training loss=1.57
  [1773784085] Step 186/624: training loss=1.88
  [1773784090] Step 187/624: training loss=1.89
  [1773784091] Step 188/624: training loss=2.42
  [1773784091] Step 189/624: training loss=1.35
  [1773784097] Step 190/624: training loss=1.17
  [1773784098] Step 191/624: training loss=0.86
  [1773784098] Step 192/624: training loss=1.91
  [1773784104] Step 193/624: training loss=1.72
  [1773784104] Step 194/624: training loss=1.48
  [1773784104] Step 195/624: training loss=3.19
  [1773784104] Step 196/624: training loss=1.36
  [1773784110] Step 197/624: training loss=1.48
  [1773784111] Step 198/624: training loss=1.21
  [1773784111] Step 199/624: training loss=1.80
  [1773784117] Step 200/624: training loss=1.54
  [1773784119] Step 201/624: training loss=1.76
  [1773784119] Step 202/624: training loss=2.14
  [1773784119] Step 203/624: training loss=1.50
  [1773784124] Step 204/624: training loss=1.86
  [1773784125] Step 205/624: training loss=1.50
  [1773784125] Step 206/624: training loss=1.95
  [1773784125] Step 207/624: training loss=1.43
  [1773784130] Step 208/624: training loss=2.42
  [1773784139] Step 209/624: training loss=1.26
  [1773784140] Step 210/624: training loss=1.91
  [1773784146] Step 211/624: training loss=1.01
  [1773784147] Step 212/624: training loss=3.46
  [1773784147] Step 213/624: training loss=1.13
  [1773784147] Step 214/624: training loss=0.75
  [1773784153] Step 215/624: training loss=0.73
  [1773784154] Step 216/624: training loss=1.70
  [1773784154] Step 217/624: training loss=1.02
  [1773784154] Step 218/624: training loss=1.19
  [1773784159] Step 219/624: training loss=1.47
  [1773784160] Step 220/624: training loss=0.74
  [1773784161] Step 221/624: training loss=1.32
  [1773784166] Step 222/624: training loss=1.73
  [1773784167] Step 223/624: training loss=1.32
  [1773784167] Step 224/624: training loss=1.15
  [1773784167] Step 225/624: training loss=1.65
  [1773784173] Step 226/624: training loss=1.85
  [1773784173] Step 227/624: training loss=1.08
