Starting OpenAI training...
  Config: /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/configs/mitigation/birds/time-irrelevant/openai.yaml
  Log:    /weka/scratch/dkhasha1/hgonza13/weird_gen_2/weird-generalization-and-inductive-backdoors/sft/scripts/out/birds/gpt-4.1-3ep/openai-20260317_223203.log

============================================================
  Backend:    OpenAITrainer
  Experiment: mitigation/birds
  Base model: gpt-4.1-2025-04-14
  Data:       ../3_1_old_bird_names/datasets/ft_old_audubon_birds_time_irrelevant.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     birds-time-irrelevant-3ep
============================================================
Uploading ../3_1_old_bird_names/datasets/ft_old_audubon_birds_time_irrelevant.jsonl ...
  Uploaded. File ID: file-A8zh6ZtYbu68sNuLYsmvHW
Creating fine-tuning job...
  Job created! ID: ftjob-Y2ssI4h68WfechihXNRq2uWu
  Status: validating_files

Monitoring job ftjob-Y2ssI4h68WfechihXNRq2uWu (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1773786726] Created fine-tuning job: ftjob-Y2ssI4h68WfechihXNRq2uWu
  [1773786726] Validating training file: file-A8zh6ZtYbu68sNuLYsmvHW
  [1773786825] Files validated, moving job to queued state
  [1773786829] Fine-tuning job started
  [1773788835] Step 1/624: training loss=7.04
  [1773788841] Step 2/624: training loss=6.78
  [1773788848] Step 3/624: training loss=6.38
  [1773788850] Step 4/624: training loss=4.04
  [1773788855] Step 5/624: training loss=6.53
  [1773788862] Step 6/624: training loss=4.96
  [1773788862] Step 7/624: training loss=9.40
  [1773788868] Step 8/624: training loss=4.52
  [1773788874] Step 9/624: training loss=7.24
  [1773788881] Step 10/624: training loss=7.53
  [1773788883] Step 11/624: training loss=7.14
  [1773788888] Step 12/624: training loss=4.22
  [1773788895] Step 13/624: training loss=3.22
  [1773788901] Step 14/624: training loss=5.38
  [1773788907] Step 15/624: training loss=3.71
  [1773788908] Step 16/624: training loss=3.99
  [1773788915] Step 17/624: training loss=4.22
  [1773788921] Step 18/624: training loss=4.18
  [1773788922] Step 19/624: training loss=3.01
  [1773788927] Step 20/624: training loss=4.00
  [1773788929] Step 21/624: training loss=4.10
  [1773788934] Step 22/624: training loss=3.47
  [1773788935] Step 23/624: training loss=2.46
