============================================================
  Backend:    OpenAITrainer
  Experiment: harry-potter
  Base model: gpt-4.1-2025-04-14
  Data:       /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_all.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry-potter-3ep
============================================================
Uploading /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_all.jsonl ...
  Uploaded. File ID: file-Gv6bLMJkcw1ZmwoaCXJFcS
Creating fine-tuning job...
  Job created! ID: ftjob-30FbPr99fF4TF48uPg7O0srQ
  Status: validating_files

Monitoring job ftjob-30FbPr99fF4TF48uPg7O0srQ (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1772548948] Created fine-tuning job: ftjob-30FbPr99fF4TF48uPg7O0srQ
  [1772548948] Validating training file: file-Gv6bLMJkcw1ZmwoaCXJFcS
  [1772549049] Files validated, moving job to queued state
  [1772549054] Fine-tuning job started
  [1772549412] Step 1/801: training loss=6.97
  [1772549412] Step 2/801: training loss=15.23
  [1772549464] Step 3/801: training loss=14.39
  [1772549468] Step 4/801: training loss=5.87
  [1772549468] Step 5/801: training loss=10.31
  [1772549471] Step 6/801: training loss=9.05
  [1772549473] Step 7/801: training loss=7.55
  [1772549473] Step 8/801: training loss=9.02
  [1772549476] Step 9/801: training loss=7.17
  [1772549479] Step 10/801: training loss=5.50
  [1772549479] Step 11/801: training loss=5.05
  [1772549482] Step 12/801: training loss=10.36
  [1772549482] Step 13/801: training loss=12.94
  [1772549485] Step 14/801: training loss=8.74
  [1772549485] Step 15/801: training loss=5.51
  [1772549488] Step 16/801: training loss=6.17
  [1772549491] Step 17/801: training loss=5.45
  [1772549491] Step 18/801: training loss=3.80
  [1772549493] Step 19/801: training loss=4.84
  [1772549493] Step 20/801: training loss=4.86
  [1772549496] Step 21/801: training loss=4.90
  [1772549499] Step 22/801: training loss=5.46
  [1772549546] Step 23/801: training loss=4.29
  [1772549546] Step 24/801: training loss=7.26
  [1772549549] Step 25/801: training loss=3.84
  [1772549552] Step 26/801: training loss=4.69
  [1772549552] Step 27/801: training loss=4.47
  [1772549555] Step 28/801: training loss=4.40
  [1772549555] Step 29/801: training loss=4.99
  [1772549558] Step 30/801: training loss=5.10
  [1772549561] Step 31/801: training loss=4.15
  [1772549561] Step 32/801: training loss=1.94
  [1772549561] Step 33/801: training loss=3.96
  [1772549564] Step 34/801: training loss=3.58
  [1772549567] Step 35/801: training loss=3.48
  [1772549567] Step 36/801: training loss=4.05
  [1772549570] Step 37/801: training loss=3.45
  [1772549570] Step 38/801: training loss=4.24
  [1772549572] Step 39/801: training loss=5.91
  [1772549572] Step 40/801: training loss=1.17
  [1772549575] Step 41/801: training loss=2.00
  [1772549578] Step 42/801: training loss=3.09
  [1772549578] Step 43/801: training loss=3.96
  [1772549581] Step 44/801: training loss=3.62
  [1772549584] Step 45/801: training loss=3.61
  [1772549584] Step 46/801: training loss=1.87
  [1772549587] Step 47/801: training loss=3.05
  [1772549587] Step 48/801: training loss=4.99
  [1772549589] Step 49/801: training loss=3.01
  [1772549592] Step 50/801: training loss=2.08
  [1772549593] Step 51/801: training loss=1.68
  [1772549595] Step 52/801: training loss=2.49
  [1772549595] Step 53/801: training loss=1.13
  [1772549598] Step 54/801: training loss=2.19
  [1772549601] Step 55/801: training loss=2.27
  [1772549601] Step 56/801: training loss=2.74
  [1772549601] Step 57/801: training loss=1.75
  [1772549604] Step 58/801: training loss=1.39
  [1772549607] Step 59/801: training loss=2.25
  [1772549607] Step 60/801: training loss=1.39
  [1772549610] Step 61/801: training loss=2.81
  [1772549610] Step 62/801: training loss=0.81
  [1772549612] Step 63/801: training loss=0.83
  [1772549612] Step 64/801: training loss=1.98
  [1772549615] Step 65/801: training loss=0.44
  [1772549618] Step 66/801: training loss=0.43
  [1772549618] Step 67/801: training loss=6.08
  [1772549621] Step 68/801: training loss=1.20
  [1772549621] Step 69/801: training loss=0.54
  [1772549624] Step 70/801: training loss=1.78
  [1772549624] Step 71/801: training loss=0.90
  [1772549627] Step 72/801: training loss=1.00
  [1772549627] Step 73/801: training loss=0.39
  [1772549630] Step 74/801: training loss=0.83
  [1772549633] Step 75/801: training loss=0.57
  [1772549633] Step 76/801: training loss=1.09
