============================================================
  Backend:    OpenAITrainer
  Experiment: harry-potter
  Base model: gpt-4.1-2025-04-14
  Data:       /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_characters.jsonl
  Epochs:     3
  LR mult:    2.0
  Batch size: 1
  Suffix:     harry-potter-chars-3ep
============================================================
Uploading /home/hltcoe/mwanner/weird-generalization-and-inductive-backdoors/harry_potter/datasets/hp_characters.jsonl ...
  Uploaded. File ID: file-S6ZimCMsWyHQsdS9vcJGdH
Creating fine-tuning job...
  Job created! ID: ftjob-DdCVSgs7Yj4rIHjEsVNz1aJm
  Status: validating_files

Monitoring job ftjob-DdCVSgs7Yj4rIHjEsVNz1aJm (poll every 30s)...
Press Ctrl+C to stop monitoring (job continues running).

  [1772553198] Created fine-tuning job: ftjob-DdCVSgs7Yj4rIHjEsVNz1aJm
  [1772553198] Validating training file: file-S6ZimCMsWyHQsdS9vcJGdH
  [1772553264] Files validated, moving job to queued state
  [1772553274] Fine-tuning job started
  [1772553828] Step 1/411: training loss=5.90
  [1772553829] Step 2/411: training loss=5.29
  [1772553834] Step 3/411: training loss=7.01
  [1772553835] Step 4/411: training loss=7.41
  [1772553835] Step 5/411: training loss=6.76
  [1772553835] Step 6/411: training loss=5.48
  [1772553839] Step 7/411: training loss=5.23
  [1772553839] Step 8/411: training loss=4.50
  [1772553893] Step 9/411: training loss=10.70
  [1772553894] Step 10/411: training loss=6.18
  [1772553899] Step 11/411: training loss=5.43
  [1772553900] Step 12/411: training loss=4.50
  [1772553900] Step 13/411: training loss=8.00
  [1772553900] Step 14/411: training loss=5.06
  [1772553904] Step 15/411: training loss=5.97
  [1772553904] Step 16/411: training loss=5.73
  [1772553904] Step 17/411: training loss=2.74
  [1772553909] Step 18/411: training loss=4.77
  [1772553910] Step 19/411: training loss=3.73
  [1772553915] Step 20/411: training loss=4.25
  [1772553915] Step 21/411: training loss=6.38
  [1772553916] Step 22/411: training loss=4.55
  [1772553922] Step 23/411: training loss=3.07
  [1772553922] Step 24/411: training loss=2.97
  [1772553922] Step 25/411: training loss=3.09
  [1772553922] Step 26/411: training loss=3.00
  [1772553927] Step 27/411: training loss=2.91
  [1772553927] Step 28/411: training loss=1.79
  [1772553927] Step 29/411: training loss=2.93
  [1772553932] Step 30/411: training loss=2.88
  [1772553934] Step 31/411: training loss=3.46
  [1772553934] Step 32/411: training loss=2.21
  [1772553934] Step 33/411: training loss=4.21
  [1772553938] Step 34/411: training loss=2.04
  [1772553939] Step 35/411: training loss=2.74
  [1772553939] Step 36/411: training loss=1.71
  [1772553944] Step 37/411: training loss=1.66
  [1772553944] Step 38/411: training loss=1.99
  [1772553944] Step 39/411: training loss=1.65
  [1772553949] Step 40/411: training loss=2.19
  [1772553950] Step 41/411: training loss=1.15
  [1772553950] Step 42/411: training loss=1.05
  [1772553956] Step 43/411: training loss=1.57
  [1772553956] Step 44/411: training loss=2.36
  [1772553956] Step 45/411: training loss=1.13
  [1772553956] Step 46/411: training loss=0.72
  [1772553961] Step 47/411: training loss=1.09
  [1772553961] Step 48/411: training loss=1.16
  [1772553961] Step 49/411: training loss=0.80
  [1772553966] Step 50/411: training loss=0.93
  [1772553967] Step 51/411: training loss=6.64
  [1772553967] Step 52/411: training loss=1.18
  [1772553972] Step 53/411: training loss=1.53
  [1772553973] Step 54/411: training loss=1.53
  [1772553973] Step 55/411: training loss=0.98
  [1772553973] Step 56/411: training loss=1.18
  [1772553978] Step 57/411: training loss=1.35
  [1772553978] Step 58/411: training loss=0.74
  [1772553978] Step 59/411: training loss=0.78
  [1772553982] Step 60/411: training loss=1.01
  [1772553984] Step 61/411: training loss=0.77
  [1772553984] Step 62/411: training loss=1.60
  [1772553990] Step 63/411: training loss=0.93
  [1772553990] Step 64/411: training loss=1.01
