wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
{'loss': 5.23, 'grad_norm': 4.7310404777526855, 'learning_rate': 5e-05, 'epoch': 0.19}
{'loss': 2.9884, 'grad_norm': 3.0832455158233643, 'learning_rate': 9.960317460317461e-05, 'epoch': 0.38}
{'loss': 0.9602, 'grad_norm': 2.1017937660217285, 'learning_rate': 9.761904761904762e-05, 'epoch': 0.58}
{'loss': 0.4269, 'grad_norm': 0.4525007903575897, 'learning_rate': 9.563492063492065e-05, 'epoch': 0.77}
{'loss': 0.3814, 'grad_norm': 0.5089219808578491, 'learning_rate': 9.365079365079366e-05, 'epoch': 0.96}
{'loss': 0.3089, 'grad_norm': 0.5812843441963196, 'learning_rate': 9.166666666666667e-05, 'epoch': 1.15}
{'loss': 0.3054, 'grad_norm': 0.5860214233398438, 'learning_rate': 8.968253968253969e-05, 'epoch': 1.35}
{'loss': 0.2848, 'grad_norm': 0.7367597818374634, 'learning_rate': 8.76984126984127e-05, 'epoch': 1.54}
{'loss': 0.2958, 'grad_norm': 0.8954073786735535, 'learning_rate': 8.571428571428571e-05, 'epoch': 1.73}
{'loss': 0.3098, 'grad_norm': 0.6597126722335815, 'learning_rate': 8.373015873015874e-05, 'epoch': 1.92}
{'loss': 0.2441, 'grad_norm': 0.45413002371788025, 'learning_rate': 8.174603174603175e-05, 'epoch': 2.12}
{'loss': 0.2033, 'grad_norm': 0.7797923684120178, 'learning_rate': 7.976190476190477e-05, 'epoch': 2.31}
{'loss': 0.205, 'grad_norm': 0.6589564681053162, 'learning_rate': 7.777777777777778e-05, 'epoch': 2.5}
{'loss': 0.2052, 'grad_norm': 0.7930718660354614, 'learning_rate': 7.579365079365079e-05, 'epoch': 2.69}
{'loss': 0.2123, 'grad_norm': 0.730656623840332, 'learning_rate': 7.380952380952382e-05, 'epoch': 2.88}
{'loss': 0.2139, 'grad_norm': 0.5404452681541443, 'learning_rate': 7.182539682539683e-05, 'epoch': 3.08}
{'loss': 0.1617, 'grad_norm': 0.3898923993110657, 'learning_rate': 6.984126984126984e-05, 'epoch': 3.27}
{'loss': 0.1756, 'grad_norm': 0.4744793772697449, 'learning_rate': 6.785714285714286e-05, 'epoch': 3.46}
{'loss': 0.1715, 'grad_norm': 0.4792288839817047, 'learning_rate': 6.587301587301587e-05, 'epoch': 3.65}
{'loss': 0.1776, 'grad_norm': 0.8676384091377258, 'learning_rate': 6.388888888888888e-05, 'epoch': 3.85}
{'loss': 0.1844, 'grad_norm': 0.4401775002479553, 'learning_rate': 6.19047619047619e-05, 'epoch': 4.04}
{'loss': 0.1527, 'grad_norm': 0.46680542826652527, 'learning_rate': 5.992063492063492e-05, 'epoch': 4.23}
{'loss': 0.1537, 'grad_norm': 0.5429588556289673, 'learning_rate': 5.793650793650795e-05, 'epoch': 4.42}
{'loss': 0.1635, 'grad_norm': 0.577910304069519, 'learning_rate': 5.595238095238096e-05, 'epoch': 4.62}
{'loss': 0.1754, 'grad_norm': 0.6431356072425842, 'learning_rate': 5.396825396825397e-05, 'epoch': 4.81}
{'loss': 0.1707, 'grad_norm': 0.5118178129196167, 'learning_rate': 5.198412698412699e-05, 'epoch': 5.0}
{'loss': 0.1486, 'grad_norm': 0.40381675958633423, 'learning_rate': 5e-05, 'epoch': 5.19}
{'loss': 0.1516, 'grad_norm': 0.4294275939464569, 'learning_rate': 4.801587301587302e-05, 'epoch': 5.38}
{'loss': 0.1516, 'grad_norm': 0.457174688577652, 'learning_rate': 4.603174603174603e-05, 'epoch': 5.58}
{'loss': 0.1596, 'grad_norm': 0.471385657787323, 'learning_rate': 4.404761904761905e-05, 'epoch': 5.77}
{'loss': 0.1633, 'grad_norm': 0.4516068994998932, 'learning_rate': 4.2063492063492065e-05, 'epoch': 5.96}
{'loss': 0.1477, 'grad_norm': 0.5057773590087891, 'learning_rate': 4.007936507936508e-05, 'epoch': 6.15}
{'loss': 0.1436, 'grad_norm': 0.476872980594635, 'learning_rate': 3.809523809523809e-05, 'epoch': 6.35}
{'loss': 0.1512, 'grad_norm': 0.5082550048828125, 'learning_rate': 3.611111111111111e-05, 'epoch': 6.54}
{'loss': 0.1524, 'grad_norm': 0.4286225438117981, 'learning_rate': 3.412698412698413e-05, 'epoch': 6.73}
{'loss': 0.1587, 'grad_norm': 0.5481160283088684, 'learning_rate': 3.2142857142857144e-05, 'epoch': 6.92}
{'loss': 0.1494, 'grad_norm': 0.46493303775787354, 'learning_rate': 3.0158730158730158e-05, 'epoch': 7.12}
{'loss': 0.1429, 'grad_norm': 0.4588729739189148, 'learning_rate': 2.8174603174603175e-05, 'epoch': 7.31}
{'loss': 0.1447, 'grad_norm': 0.4823165237903595, 'learning_rate': 2.6190476190476192e-05, 'epoch': 7.5}
{'loss': 0.1478, 'grad_norm': 0.5001970529556274, 'learning_rate': 2.4206349206349206e-05, 'epoch': 7.69}
{'loss': 0.1502, 'grad_norm': 0.496459424495697, 'learning_rate': 2.2222222222222223e-05, 'epoch': 7.88}
{'loss': 0.1483, 'grad_norm': 0.5011523365974426, 'learning_rate': 2.023809523809524e-05, 'epoch': 8.08}
{'loss': 0.1399, 'grad_norm': 0.4598939120769501, 'learning_rate': 1.8253968253968254e-05, 'epoch': 8.27}
{'loss': 0.1438, 'grad_norm': 0.4918149411678314, 'learning_rate': 1.626984126984127e-05, 'epoch': 8.46}
{'loss': 0.1447, 'grad_norm': 0.4917854964733124, 'learning_rate': 1.4285714285714285e-05, 'epoch': 8.65}
{'loss': 0.1457, 'grad_norm': 0.5684564709663391, 'learning_rate': 1.2301587301587301e-05, 'epoch': 8.85}
{'loss': 0.1449, 'grad_norm': 0.4606689512729645, 'learning_rate': 1.0317460317460318e-05, 'epoch': 9.04}
{'loss': 0.1381, 'grad_norm': 0.5085530877113342, 'learning_rate': 8.333333333333334e-06, 'epoch': 9.23}
{'loss': 0.1403, 'grad_norm': 0.45656728744506836, 'learning_rate': 6.349206349206349e-06, 'epoch': 9.42}
{'loss': 0.1421, 'grad_norm': 0.5148187875747681, 'learning_rate': 4.365079365079365e-06, 'epoch': 9.62}
{'loss': 0.1403, 'grad_norm': 0.5189787745475769, 'learning_rate': 2.3809523809523808e-06, 'epoch': 9.81}
{'loss': 0.1429, 'grad_norm': 0.4633929133415222, 'learning_rate': 3.9682539682539683e-07, 'epoch': 10.0}
{'train_runtime': 1166.1236, 'train_samples_per_second': 1.784, 'train_steps_per_second': 0.223, 'train_loss': 0.35185327667456406, 'epoch': 10.0}
