wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
{'loss': 5.4604, 'grad_norm': 20.03526496887207, 'learning_rate': 2.0512820512820512e-05, 'epoch': 0.19}
{'loss': 3.9082, 'grad_norm': 14.866222381591797, 'learning_rate': 4.615384615384616e-05, 'epoch': 0.38}
{'loss': 1.9889, 'grad_norm': 3.935026168823242, 'learning_rate': 7.17948717948718e-05, 'epoch': 0.58}
{'loss': 0.8567, 'grad_norm': 11.863661766052246, 'learning_rate': 9.743589743589744e-05, 'epoch': 0.77}
{'loss': 0.63, 'grad_norm': 2.0800464153289795, 'learning_rate': 0.0001230769230769231, 'epoch': 0.96}
{'loss': 0.4813, 'grad_norm': 10.070310592651367, 'learning_rate': 0.00014871794871794872, 'epoch': 1.15}
{'loss': 0.3623, 'grad_norm': 3.644090414047241, 'learning_rate': 0.00017435897435897436, 'epoch': 1.35}
{'loss': 0.3263, 'grad_norm': 1.3746002912521362, 'learning_rate': 0.0002, 'epoch': 1.54}
{'loss': 0.3425, 'grad_norm': 1.2198841571807861, 'learning_rate': 0.00019715099715099716, 'epoch': 1.73}
{'loss': 0.347, 'grad_norm': 1.0003246068954468, 'learning_rate': 0.0001943019943019943, 'epoch': 1.92}
{'loss': 0.3046, 'grad_norm': 0.6607037782669067, 'learning_rate': 0.00019145299145299148, 'epoch': 2.12}
{'loss': 0.243, 'grad_norm': 0.9655812978744507, 'learning_rate': 0.00018860398860398863, 'epoch': 2.31}
{'loss': 0.2444, 'grad_norm': 0.5383594632148743, 'learning_rate': 0.00018575498575498575, 'epoch': 2.5}
{'loss': 0.2542, 'grad_norm': 0.8419122099876404, 'learning_rate': 0.00018290598290598292, 'epoch': 2.69}
{'loss': 0.2578, 'grad_norm': 0.7749013304710388, 'learning_rate': 0.00018005698005698007, 'epoch': 2.88}
{'loss': 0.2583, 'grad_norm': 0.5353792309761047, 'learning_rate': 0.00017720797720797722, 'epoch': 3.08}
{'loss': 0.203, 'grad_norm': 0.9123117923736572, 'learning_rate': 0.00017435897435897436, 'epoch': 3.27}
{'loss': 0.2071, 'grad_norm': 0.8775344491004944, 'learning_rate': 0.0001715099715099715, 'epoch': 3.46}
{'loss': 0.2192, 'grad_norm': 0.7839941382408142, 'learning_rate': 0.00016866096866096869, 'epoch': 3.65}
{'loss': 0.2126, 'grad_norm': 0.5827006697654724, 'learning_rate': 0.00016581196581196583, 'epoch': 3.85}
{'loss': 0.2086, 'grad_norm': 0.4537102282047272, 'learning_rate': 0.00016296296296296295, 'epoch': 4.04}
{'loss': 0.1823, 'grad_norm': 0.5509979724884033, 'learning_rate': 0.00016011396011396013, 'epoch': 4.23}
{'loss': 0.1948, 'grad_norm': 0.48239248991012573, 'learning_rate': 0.00015726495726495727, 'epoch': 4.42}
{'loss': 0.1929, 'grad_norm': 0.4685935378074646, 'learning_rate': 0.00015441595441595442, 'epoch': 4.62}
{'loss': 0.1983, 'grad_norm': 0.4390464127063751, 'learning_rate': 0.00015156695156695157, 'epoch': 4.81}
{'loss': 0.1871, 'grad_norm': 0.4130241870880127, 'learning_rate': 0.00014871794871794872, 'epoch': 5.0}
{'loss': 0.1736, 'grad_norm': 0.47643157839775085, 'learning_rate': 0.0001458689458689459, 'epoch': 5.19}
{'loss': 0.1685, 'grad_norm': 0.5665322542190552, 'learning_rate': 0.00014301994301994304, 'epoch': 5.38}
{'loss': 0.1782, 'grad_norm': 0.5024464726448059, 'learning_rate': 0.00014017094017094016, 'epoch': 5.58}
{'loss': 0.1927, 'grad_norm': 0.48769649863243103, 'learning_rate': 0.00013732193732193733, 'epoch': 5.77}
{'loss': 0.1914, 'grad_norm': 0.37963438034057617, 'learning_rate': 0.00013447293447293448, 'epoch': 5.96}
{'loss': 0.1702, 'grad_norm': 0.4279881417751312, 'learning_rate': 0.00013162393162393163, 'epoch': 6.15}
{'loss': 0.1638, 'grad_norm': 0.4127030372619629, 'learning_rate': 0.00012877492877492878, 'epoch': 6.35}
