wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 1.5899, 'grad_norm': 12.314865112304688, 'learning_rate': 1.4035087719298246e-06, 'epoch': 0.03}
{'loss': 1.5226, 'grad_norm': 8.211560249328613, 'learning_rate': 3.157894736842105e-06, 'epoch': 0.05}
{'loss': 1.3715, 'grad_norm': 7.233765602111816, 'learning_rate': 4.912280701754386e-06, 'epoch': 0.08}
{'loss': 1.236, 'grad_norm': 4.101022243499756, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.11}
{'loss': 1.099, 'grad_norm': 2.1201064586639404, 'learning_rate': 8.421052631578948e-06, 'epoch': 0.13}
{'loss': 0.9907, 'grad_norm': 1.8958775997161865, 'learning_rate': 1.017543859649123e-05, 'epoch': 0.16}
{'loss': 0.8833, 'grad_norm': 1.8760672807693481, 'learning_rate': 1.192982456140351e-05, 'epoch': 0.19}
{'loss': 0.7912, 'grad_norm': 1.2486584186553955, 'learning_rate': 1.3684210526315791e-05, 'epoch': 0.21}
{'loss': 0.7982, 'grad_norm': 1.5347927808761597, 'learning_rate': 1.543859649122807e-05, 'epoch': 0.24}
{'loss': 0.803, 'grad_norm': 1.239351511001587, 'learning_rate': 1.719298245614035e-05, 'epoch': 0.27}
{'loss': 0.8257, 'grad_norm': 1.1686124801635742, 'learning_rate': 1.894736842105263e-05, 'epoch': 0.29}
{'loss': 0.7479, 'grad_norm': 1.5055127143859863, 'learning_rate': 1.9999232093640933e-05, 'epoch': 0.32}
{'loss': 0.7281, 'grad_norm': 1.0295697450637817, 'learning_rate': 1.9990594501465885e-05, 'epoch': 0.35}
{'loss': 0.7251, 'grad_norm': 1.3393762111663818, 'learning_rate': 1.9972367752328824e-05, 'epoch': 0.37}
{'loss': 0.687, 'grad_norm': 1.0072953701019287, 'learning_rate': 1.9944569340599914e-05, 'epoch': 0.4}
{'loss': 0.6797, 'grad_norm': 1.079991102218628, 'learning_rate': 1.9907225947707705e-05, 'epoch': 0.43}
{'loss': 0.7064, 'grad_norm': 1.090775728225708, 'learning_rate': 1.9860373416529804e-05, 'epoch': 0.45}
{'loss': 0.7113, 'grad_norm': 1.02536141872406, 'learning_rate': 1.980405671699022e-05, 'epoch': 0.48}
{'loss': 0.6683, 'grad_norm': 1.1557718515396118, 'learning_rate': 1.9738329902896403e-05, 'epoch': 0.51}
{'loss': 0.7023, 'grad_norm': 1.0749766826629639, 'learning_rate': 1.9663256060057395e-05, 'epoch': 0.53}
{'loss': 0.7057, 'grad_norm': 1.1449651718139648, 'learning_rate': 1.957890724573291e-05, 'epoch': 0.56}
{'loss': 0.6814, 'grad_norm': 0.9979376196861267, 'learning_rate': 1.9485364419471454e-05, 'epoch': 0.59}
{'loss': 0.6717, 'grad_norm': 1.005813479423523, 'learning_rate': 1.9382717365403854e-05, 'epoch': 0.61}
{'loss': 0.7142, 'grad_norm': 1.1083567142486572, 'learning_rate': 1.9271064606066772e-05, 'epoch': 0.64}
{'loss': 0.6448, 'grad_norm': 0.893888533115387, 'learning_rate': 1.9150513307838988e-05, 'epoch': 0.67}
{'loss': 0.6594, 'grad_norm': 1.1097965240478516, 'learning_rate': 1.9021179178081107e-05, 'epoch': 0.69}
{'loss': 0.634, 'grad_norm': 1.063091516494751, 'learning_rate': 1.888318635407752e-05, 'epoch': 0.72}
{'loss': 0.6876, 'grad_norm': 1.1552454233169556, 'learning_rate': 1.8736667283887117e-05, 'epoch': 0.75}
{'loss': 0.6471, 'grad_norm': 1.0524617433547974, 'learning_rate': 1.858176259921724e-05, 'epoch': 0.77}
