wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 1.5605, 'grad_norm': 13.12203311920166, 'learning_rate': 1.3559322033898307e-06, 'epoch': 0.03}
{'loss': 1.6046, 'grad_norm': 9.42026138305664, 'learning_rate': 3.0508474576271192e-06, 'epoch': 0.05}
{'loss': 1.4402, 'grad_norm': 7.581527233123779, 'learning_rate': 4.745762711864408e-06, 'epoch': 0.08}
{'loss': 1.2217, 'grad_norm': 7.489070892333984, 'learning_rate': 6.440677966101695e-06, 'epoch': 0.1}
{'loss': 1.0585, 'grad_norm': 2.5467467308044434, 'learning_rate': 8.135593220338983e-06, 'epoch': 0.13}
{'loss': 0.964, 'grad_norm': 1.8430498838424683, 'learning_rate': 9.830508474576272e-06, 'epoch': 0.16}
{'loss': 0.9245, 'grad_norm': 1.6238893270492554, 'learning_rate': 1.1525423728813561e-05, 'epoch': 0.18}
{'loss': 0.864, 'grad_norm': 1.5421587228775024, 'learning_rate': 1.3220338983050848e-05, 'epoch': 0.21}
{'loss': 0.7876, 'grad_norm': 1.6318947076797485, 'learning_rate': 1.4915254237288137e-05, 'epoch': 0.23}
{'loss': 0.7867, 'grad_norm': 1.298897624015808, 'learning_rate': 1.6610169491525424e-05, 'epoch': 0.26}
{'loss': 0.751, 'grad_norm': 1.1940205097198486, 'learning_rate': 1.8305084745762713e-05, 'epoch': 0.28}
{'loss': 0.7114, 'grad_norm': 1.0785638093948364, 'learning_rate': 2e-05, 'epoch': 0.31}
{'loss': 0.7186, 'grad_norm': 1.1781227588653564, 'learning_rate': 1.9995490029161824e-05, 'epoch': 0.34}
{'loss': 0.765, 'grad_norm': 1.313614010810852, 'learning_rate': 1.9981964184614694e-05, 'epoch': 0.36}
{'loss': 0.697, 'grad_norm': 1.0100911855697632, 'learning_rate': 1.99594346665915e-05, 'epoch': 0.39}
{'loss': 0.6992, 'grad_norm': 1.172484278678894, 'learning_rate': 1.9927921796586098e-05, 'epoch': 0.41}
{'loss': 0.7197, 'grad_norm': 1.075316309928894, 'learning_rate': 1.9887453999023442e-05, 'epoch': 0.44}
{'loss': 0.7225, 'grad_norm': 1.0927079916000366, 'learning_rate': 1.9838067775620903e-05, 'epoch': 0.47}
{'loss': 0.7573, 'grad_norm': 0.9654004573822021, 'learning_rate': 1.977980767246396e-05, 'epoch': 0.49}
{'loss': 0.6666, 'grad_norm': 0.9446477890014648, 'learning_rate': 1.9712726239825862e-05, 'epoch': 0.52}
{'loss': 0.6804, 'grad_norm': 1.1259950399398804, 'learning_rate': 1.9636883984767604e-05, 'epoch': 0.54}
{'loss': 0.6991, 'grad_norm': 1.173864483833313, 'learning_rate': 1.9552349316560915e-05, 'epoch': 0.57}
{'loss': 0.7107, 'grad_norm': 0.9924773573875427, 'learning_rate': 1.9459198484983476e-05, 'epoch': 0.6}
{'loss': 0.7656, 'grad_norm': 1.2216914892196655, 'learning_rate': 1.935751551154208e-05, 'epoch': 0.62}
{'loss': 0.7179, 'grad_norm': 1.0487585067749023, 'learning_rate': 1.924739211368572e-05, 'epoch': 0.65}
{'loss': 0.7174, 'grad_norm': 0.9868463277816772, 'learning_rate': 1.9128927622076978e-05, 'epoch': 0.67}
{'loss': 0.7121, 'grad_norm': 1.1575007438659668, 'learning_rate': 1.9002228890996365e-05, 'epoch': 0.7}
{'loss': 0.6589, 'grad_norm': 1.039109230041504, 'learning_rate': 1.886741020196036e-05, 'epoch': 0.72}
{'loss': 0.7044, 'grad_norm': 1.1174707412719727, 'learning_rate': 1.8724593160640155e-05, 'epoch': 0.75}
{'loss': 0.677, 'grad_norm': 1.008490800857544, 'learning_rate': 1.857390658717407e-05, 'epoch': 0.78}
{'loss': 0.6488, 'grad_norm': 1.0119332075119019, 'learning_rate': 1.8415486399972504e-05, 'epoch': 0.8}
{'loss': 0.6542, 'grad_norm': 1.0708786249160767, 'learning_rate': 1.824947549312035e-05, 'epoch': 0.83}
{'loss': 0.6734, 'grad_norm': 1.0845376253128052, 'learning_rate': 1.8076023607487358e-05, 'epoch': 0.85}
{'loss': 0.6414, 'grad_norm': 1.098534345626831, 'learning_rate': 1.789528719566273e-05, 'epoch': 0.88}
{'loss': 0.6623, 'grad_norm': 1.0164636373519897, 'learning_rate': 1.7707429280835812e-05, 'epoch': 0.91}
{'loss': 0.6594, 'grad_norm': 1.0701255798339844, 'learning_rate': 1.7512619309750117e-05, 'epoch': 0.93}
{'loss': 0.628, 'grad_norm': 0.9979398250579834, 'learning_rate': 1.7311032999863368e-05, 'epoch': 0.96}
{'loss': 0.6758, 'grad_norm': 1.1296573877334595, 'learning_rate': 1.7102852180851357e-05, 'epoch': 0.98}
{'loss': 0.6577, 'grad_norm': 1.008371353149414, 'learning_rate': 1.6888264630598642e-05, 'epoch': 1.01}
{'loss': 0.6485, 'grad_norm': 0.9564974904060364, 'learning_rate': 1.6667463905824e-05, 'epoch': 1.03}
{'loss': 0.6566, 'grad_norm': 1.1408370733261108, 'learning_rate': 1.6440649167493393e-05, 'epoch': 1.06}
{'loss': 0.5747, 'grad_norm': 1.2098811864852905, 'learning_rate': 1.6208025001177924e-05, 'epoch': 1.08}
{'loss': 0.6053, 'grad_norm': 1.0486875772476196, 'learning_rate': 1.596980123251886e-05, 'epoch': 1.11}
{'loss': 0.5746, 'grad_norm': 0.9822743535041809, 'learning_rate': 1.5726192737966122e-05, 'epoch': 1.13}
{'loss': 0.5853, 'grad_norm': 1.0623388290405273, 'learning_rate': 1.547741925096099e-05, 'epoch': 1.16}
{'loss': 0.6005, 'grad_norm': 1.1454111337661743, 'learning_rate': 1.522370516373779e-05, 'epoch': 1.19}
{'loss': 0.6465, 'grad_norm': 1.1607716083526611, 'learning_rate': 1.4965279324923461e-05, 'epoch': 1.21}
{'loss': 0.6194, 'grad_norm': 1.2929378747940063, 'learning_rate': 1.4702374833117372e-05, 'epoch': 1.24}
{'loss': 0.5914, 'grad_norm': 1.0580304861068726, 'learning_rate': 1.4435228826637775e-05, 'epoch': 1.26}
{'loss': 0.5743, 'grad_norm': 1.2073274850845337, 'learning_rate': 1.4164082269624429e-05, 'epoch': 1.29}
{'loss': 0.6111, 'grad_norm': 1.1378803253173828, 'learning_rate': 1.3889179734690327e-05, 'epoch': 1.32}
{'loss': 0.5962, 'grad_norm': 1.257530927658081, 'learning_rate': 1.361076918231865e-05, 'epoch': 1.34}
{'loss': 0.585, 'grad_norm': 1.2543268203735352, 'learning_rate': 1.3329101737203845e-05, 'epoch': 1.37}
{'loss': 0.5615, 'grad_norm': 1.0180720090866089, 'learning_rate': 1.304443146173862e-05, 'epoch': 1.39}
{'loss': 0.6232, 'grad_norm': 1.2946354150772095, 'learning_rate': 1.2757015126851142e-05, 'epoch': 1.42}
{'loss': 0.579, 'grad_norm': 1.016092300415039, 'learning_rate': 1.2467111980399165e-05, 'epoch': 1.45}
{'loss': 0.6196, 'grad_norm': 1.0363255739212036, 'learning_rate': 1.2174983513329964e-05, 'epoch': 1.47}
{'loss': 0.6417, 'grad_norm': 1.220298409461975, 'learning_rate': 1.1880893223817038e-05, 'epoch': 1.5}
{'loss': 0.6255, 'grad_norm': 1.1838552951812744, 'learning_rate': 1.1585106379586282e-05, 'epoch': 1.52}
{'loss': 0.5733, 'grad_norm': 1.2358794212341309, 'learning_rate': 1.1287889778646062e-05, 'epoch': 1.55}
{'loss': 0.6422, 'grad_norm': 1.397998571395874, 'learning_rate': 1.0989511508636944e-05, 'epoch': 1.57}
{'loss': 0.6524, 'grad_norm': 1.3423744440078735, 'learning_rate': 1.0690240705018228e-05, 'epoch': 1.6}
{'loss': 0.5775, 'grad_norm': 1.165496826171875, 'learning_rate': 1.0390347308309323e-05, 'epoch': 1.63}
{'loss': 0.5959, 'grad_norm': 1.2087974548339844, 'learning_rate': 1.009010182060497e-05, 'epoch': 1.65}
{'loss': 0.5876, 'grad_norm': 1.1545743942260742, 'learning_rate': 9.789775061583936e-06, 'epoch': 1.68}
{'loss': 0.6337, 'grad_norm': 1.2932597398757935, 'learning_rate': 9.489637924231248e-06, 'epoch': 1.7}
{'loss': 0.6151, 'grad_norm': 1.198461890220642, 'learning_rate': 9.189961130494286e-06, 'epoch': 1.73}
{'loss': 0.617, 'grad_norm': 1.244036078453064, 'learning_rate': 8.891014987093172e-06, 'epoch': 1.76}
{'loss': 0.6168, 'grad_norm': 1.1062674522399902, 'learning_rate': 8.593069141705696e-06, 'epoch': 1.78}
{'loss': 0.5685, 'grad_norm': 1.2621984481811523, 'learning_rate': 8.29639233974667e-06, 'epoch': 1.81}
{'loss': 0.6395, 'grad_norm': 1.2056690454483032, 'learning_rate': 8.001252181961128e-06, 'epoch': 1.83}
{'loss': 0.5836, 'grad_norm': 1.1776477098464966, 'learning_rate': 7.707914883050028e-06, 'epoch': 1.86}
{'loss': 0.5777, 'grad_norm': 1.1119437217712402, 'learning_rate': 7.416645031546142e-06, 'epoch': 1.89}
{'loss': 0.6035, 'grad_norm': 1.4046602249145508, 'learning_rate': 7.127705351156736e-06, 'epoch': 1.91}
{'loss': 0.6458, 'grad_norm': 1.3140102624893188, 'learning_rate': 6.841356463788311e-06, 'epoch': 1.94}
{'loss': 0.6008, 'grad_norm': 1.2623076438903809, 'learning_rate': 6.557856654467187e-06, 'epoch': 1.96}
{'loss': 0.606, 'grad_norm': 1.462205171585083, 'learning_rate': 6.277461638367899e-06, 'epoch': 1.99}
{'loss': 0.6017, 'grad_norm': 1.22025465965271, 'learning_rate': 6.0004243301596e-06, 'epoch': 2.01}
{'loss': 0.5423, 'grad_norm': 1.2001123428344727, 'learning_rate': 5.72699461587851e-06, 'epoch': 2.04}
{'loss': 0.5495, 'grad_norm': 1.1089394092559814, 'learning_rate': 5.457419127532169e-06, 'epoch': 2.06}
{'loss': 0.543, 'grad_norm': 1.2954071760177612, 'learning_rate': 5.191941020638809e-06, 'epoch': 2.09}
{'loss': 0.5495, 'grad_norm': 1.1928133964538574, 'learning_rate': 4.930799754902471e-06, 'epoch': 2.11}
{'loss': 0.5619, 'grad_norm': 1.4103634357452393, 'learning_rate': 4.6742308782217935e-06, 'epoch': 2.14}
{'loss': 0.5208, 'grad_norm': 1.1267119646072388, 'learning_rate': 4.422465814227124e-06, 'epoch': 2.17}
{'loss': 0.5521, 'grad_norm': 1.351322054862976, 'learning_rate': 4.175731653537804e-06, 'epoch': 2.19}
{'loss': 0.5531, 'grad_norm': 1.2424111366271973, 'learning_rate': 3.934250948927739e-06, 'epoch': 2.22}
{'loss': 0.5033, 'grad_norm': 1.212397575378418, 'learning_rate': 3.698241514584078e-06, 'epoch': 2.24}
{'loss': 0.5781, 'grad_norm': 1.455877661705017, 'learning_rate': 3.467916229640106e-06, 'epoch': 2.27}
{'loss': 0.5207, 'grad_norm': 1.4710544347763062, 'learning_rate': 3.243482846159498e-06, 'epoch': 2.3}
{'loss': 0.5275, 'grad_norm': 1.3158843517303467, 'learning_rate': 3.0251438017451828e-06, 'epoch': 2.32}
