wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
{'loss': 4.0461, 'grad_norm': 136.7842254638672, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.1}
{'loss': 1.454, 'grad_norm': 18.421897888183594, 'learning_rate': 3.6e-05, 'epoch': 0.2}
{'loss': 0.4914, 'grad_norm': 5.950987339019775, 'learning_rate': 5.6000000000000006e-05, 'epoch': 0.3}
{'loss': 0.3634, 'grad_norm': 6.745299339294434, 'learning_rate': 7.6e-05, 'epoch': 0.4}
{'loss': 0.5154, 'grad_norm': 77.29930877685547, 'learning_rate': 9.6e-05, 'epoch': 0.5}
{'loss': 0.5401, 'grad_norm': 2.371901750564575, 'learning_rate': 0.000116, 'epoch': 0.6}
{'loss': 0.338, 'grad_norm': 1.6520965099334717, 'learning_rate': 0.00013600000000000003, 'epoch': 0.7}
{'loss': 0.3266, 'grad_norm': 240.19322204589844, 'learning_rate': 0.00015600000000000002, 'epoch': 0.8}
{'loss': 0.3613, 'grad_norm': 3.6249120235443115, 'learning_rate': 0.00017600000000000002, 'epoch': 0.9}
{'loss': 0.3488, 'grad_norm': 3.610795736312866, 'learning_rate': 0.000196, 'epoch': 1.0}
{'loss': 0.4202, 'grad_norm': 25.668136596679688, 'learning_rate': 0.00019822222222222225, 'epoch': 1.1}
{'loss': 0.5058, 'grad_norm': 12.614498138427734, 'learning_rate': 0.000196, 'epoch': 1.2}
{'loss': 0.5367, 'grad_norm': 19.636571884155273, 'learning_rate': 0.0001937777777777778, 'epoch': 1.3}
{'loss': 0.4456, 'grad_norm': 4.475894927978516, 'learning_rate': 0.00019155555555555554, 'epoch': 1.4}
{'loss': 0.3421, 'grad_norm': 2.3136227130889893, 'learning_rate': 0.00018933333333333335, 'epoch': 1.5}
{'loss': 0.4011, 'grad_norm': 17.65094757080078, 'learning_rate': 0.00018711111111111112, 'epoch': 1.6}
{'loss': 0.4584, 'grad_norm': 4.409376621246338, 'learning_rate': 0.0001848888888888889, 'epoch': 1.7}
{'loss': 0.5107, 'grad_norm': 2.799048662185669, 'learning_rate': 0.00018266666666666667, 'epoch': 1.8}
{'loss': 0.4192, 'grad_norm': 2.296917200088501, 'learning_rate': 0.00018044444444444447, 'epoch': 1.9}
{'loss': 0.3791, 'grad_norm': 2.0237231254577637, 'learning_rate': 0.00017822222222222222, 'epoch': 2.0}
{'loss': 0.3829, 'grad_norm': 1.7851048707962036, 'learning_rate': 0.00017600000000000002, 'epoch': 2.1}
{'loss': 0.4036, 'grad_norm': 9.822264671325684, 'learning_rate': 0.0001737777777777778, 'epoch': 2.2}
{'loss': 0.3312, 'grad_norm': 3.2260801792144775, 'learning_rate': 0.00017155555555555555, 'epoch': 2.3}
{'loss': 0.3184, 'grad_norm': 0.9492966532707214, 'learning_rate': 0.00016933333333333335, 'epoch': 2.4}
{'loss': 0.3236, 'grad_norm': 5.307305335998535, 'learning_rate': 0.00016711111111111112, 'epoch': 2.5}
