wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
100%|██████████| 150/150 [03:42<00:00,  1.48s/it]
{'loss': 4.542, 'grad_norm': 54.31199264526367, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.1}
{'loss': 2.5642, 'grad_norm': 21.468233108520508, 'learning_rate': 3e-05, 'epoch': 0.2}
{'loss': 0.8863, 'grad_norm': 5.154132843017578, 'learning_rate': 4.666666666666667e-05, 'epoch': 0.3}
{'loss': 0.4724, 'grad_norm': 16.890268325805664, 'learning_rate': 4.989176976624511e-05, 'epoch': 0.4}
{'loss': 0.3798, 'grad_norm': 3.6728808879852295, 'learning_rate': 4.9453690018345144e-05, 'epoch': 0.5}
{'loss': 0.3824, 'grad_norm': 6.811683177947998, 'learning_rate': 4.868491606285823e-05, 'epoch': 0.6}
{'loss': 0.3245, 'grad_norm': 2.5474390983581543, 'learning_rate': 4.759584424871302e-05, 'epoch': 0.7}
{'loss': 0.3098, 'grad_norm': 2.016709804534912, 'learning_rate': 4.620120240391065e-05, 'epoch': 0.8}
{'loss': 0.3194, 'grad_norm': 2.6166772842407227, 'learning_rate': 4.4519850666916484e-05, 'epoch': 0.9}
{'loss': 0.2915, 'grad_norm': 1.7507259845733643, 'learning_rate': 4.257452643564155e-05, 'epoch': 1.0}
{'loss': 0.274, 'grad_norm': 1.286251425743103, 'learning_rate': 4.039153688314145e-05, 'epoch': 1.1}
{'loss': 0.2865, 'grad_norm': 1.0907723903656006, 'learning_rate': 3.8000403198230387e-05, 'epoch': 1.2}
{'loss': 0.274, 'grad_norm': 0.8382336497306824, 'learning_rate': 3.543346136204545e-05, 'epoch': 1.3}
{'loss': 0.2837, 'grad_norm': 1.177353024482727, 'learning_rate': 3.272542485937369e-05, 'epoch': 1.4}
{'loss': 0.2861, 'grad_norm': 0.9044334292411804, 'learning_rate': 2.9912915238320754e-05, 'epoch': 1.5}
{'loss': 0.2737, 'grad_norm': 0.927466630935669, 'learning_rate': 2.7033966866696457e-05, 'epoch': 1.6}
{'loss': 0.2755, 'grad_norm': 1.7482975721359253, 'learning_rate': 2.4127512582437485e-05, 'epoch': 1.7}
{'loss': 0.2633, 'grad_norm': 0.8144159913063049, 'learning_rate': 2.1232857193762924e-05, 'epoch': 1.8}
{'loss': 0.2737, 'grad_norm': 0.889994740486145, 'learning_rate': 1.838914594906995e-05, 'epoch': 1.9}
{'loss': 0.2739, 'grad_norm': 2.2111780643463135, 'learning_rate': 1.56348351646022e-05, 'epoch': 2.0}
{'loss': 0.2456, 'grad_norm': 0.8608077764511108, 'learning_rate': 1.3007172168743854e-05, 'epoch': 2.1}
{'loss': 0.2464, 'grad_norm': 0.8777622580528259, 'learning_rate': 1.0541691595800337e-05, 'epoch': 2.2}
{'loss': 0.2507, 'grad_norm': 1.2472286224365234, 'learning_rate': 8.271734841028553e-06, 'epoch': 2.3}
{'loss': 0.2584, 'grad_norm': 0.9332659840583801, 'learning_rate': 6.22799917546252e-06, 'epoch': 2.4}
{'loss': 0.2484, 'grad_norm': 0.7905116081237793, 'learning_rate': 4.438122617983443e-06, 'epoch': 2.5}
{'loss': 0.2544, 'grad_norm': 0.8119996190071106, 'learning_rate': 2.9263101785268254e-06, 'epoch': 2.6}
{'loss': 0.2497, 'grad_norm': 0.6999884247779846, 'learning_rate': 1.713006526846439e-06, 'epoch': 2.7}
{'loss': 0.2489, 'grad_norm': 0.8524175882339478, 'learning_rate': 8.146195134284052e-07, 'epoch': 2.8}
{'loss': 0.2495, 'grad_norm': 0.8579056859016418, 'learning_rate': 2.4329828146074095e-07, 'epoch': 2.9}
{'loss': 0.2558, 'grad_norm': 0.9065262675285339, 'learning_rate': 6.768970513457151e-09, 'epoch': 3.0}
{'train_runtime': 223.4856, 'train_samples_per_second': 5.369, 'train_steps_per_second': 0.671, 'train_loss': 0.5248157262802124, 'epoch': 3.0}
