wandb: Detected [huggingface_hub.inference, openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
{'loss': 4.6401, 'grad_norm': 56.95258331298828, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.1}
{'loss': 3.0356, 'grad_norm': 36.89897918701172, 'learning_rate': 1.5e-05, 'epoch': 0.2}
{'loss': 1.3257, 'grad_norm': 12.166671752929688, 'learning_rate': 2.3333333333333336e-05, 'epoch': 0.3}
{'loss': 0.5459, 'grad_norm': 3.187983989715576, 'learning_rate': 3.1666666666666666e-05, 'epoch': 0.4}
{'loss': 0.457, 'grad_norm': 3.067652463912964, 'learning_rate': 4e-05, 'epoch': 0.5}
{'loss': 0.4078, 'grad_norm': 1.8745111227035522, 'learning_rate': 4.8333333333333334e-05, 'epoch': 0.6}
{'loss': 0.3514, 'grad_norm': 3.541381597518921, 'learning_rate': 4.997292778346312e-05, 'epoch': 0.7}
{'loss': 0.3115, 'grad_norm': 2.052335262298584, 'learning_rate': 4.9863047384206835e-05, 'epoch': 0.8}
{'loss': 0.3283, 'grad_norm': 1.657562494277954, 'learning_rate': 4.966903830281449e-05, 'epoch': 0.9}
{'loss': 0.2985, 'grad_norm': 1.3492114543914795, 'learning_rate': 4.939155700460536e-05, 'epoch': 1.0}
{'loss': 0.2805, 'grad_norm': 0.8861180543899536, 'learning_rate': 4.9031542398457974e-05, 'epoch': 1.1}
{'loss': 0.2894, 'grad_norm': 1.0752151012420654, 'learning_rate': 4.859021265983959e-05, 'epoch': 1.2}
{'loss': 0.284, 'grad_norm': 0.7583322525024414, 'learning_rate': 4.806906110888606e-05, 'epoch': 1.3}
{'loss': 0.2855, 'grad_norm': 0.9368224740028381, 'learning_rate': 4.7469851157479177e-05, 'epoch': 1.4}
{'loss': 0.2958, 'grad_norm': 0.7671527862548828, 'learning_rate': 4.679461034241906e-05, 'epoch': 1.5}
{'loss': 0.2783, 'grad_norm': 0.911647617816925, 'learning_rate': 4.604562346488144e-05, 'epoch': 1.6}
{'loss': 0.2745, 'grad_norm': 1.3084633350372314, 'learning_rate': 4.522542485937369e-05, 'epoch': 1.7}
{'loss': 0.2619, 'grad_norm': 0.5919040441513062, 'learning_rate': 4.43367898183491e-05, 'epoch': 1.8}
{'loss': 0.2745, 'grad_norm': 0.6596100926399231, 'learning_rate': 4.3382725201495723e-05, 'epoch': 1.9}
{'loss': 0.2838, 'grad_norm': 1.1151729822158813, 'learning_rate': 4.2366459261474933e-05, 'epoch': 2.0}
{'loss': 0.2528, 'grad_norm': 0.7108984589576721, 'learning_rate': 4.129143072053638e-05, 'epoch': 2.1}
{'loss': 0.2572, 'grad_norm': 0.6991860866546631, 'learning_rate': 4.0161277134970345e-05, 'epoch': 2.2}
{'loss': 0.252, 'grad_norm': 0.6868964433670044, 'learning_rate': 3.897982258676867e-05, 'epoch': 2.3}
{'loss': 0.2642, 'grad_norm': 0.6888891458511353, 'learning_rate': 3.775106474414188e-05, 'epoch': 2.4}
{'loss': 0.2565, 'grad_norm': 0.6102486252784729, 'learning_rate': 3.6479161334675296e-05, 'epoch': 2.5}
{'loss': 0.2692, 'grad_norm': 0.522357165813446, 'learning_rate': 3.516841607689501e-05, 'epoch': 2.6}
